3082933126.499304,3900477925.4938354,333308232.8945946,72649996.60514694,1955664.4224254051,GenX,26z-short-current-policies
1697462490.1638794,2073213219.538954,254274717.54317197,56185739.29604549,2781623.6270862827,GenX,26z-short-current-policies
999847535.3476262,473049956.62842005,294801185.98816586,71051840.27897848,5516660.464565191,GenX,26z-short-current-policies
575993077.0336905,135833832.81857517,183602420.89107725,41372094.94297132,3473852.4963330543,GenX,26z-short-base-50
608488407.1640803,146492846.2059063,201676017.97852033,47532243.8997255,4019849.371715139,GenX,26z-short-base-50
504996885.44115233,33966072.44496746,210773908.88785952,52848805.78230676,4544003.964102801,GenX,26z-short-base-50
3082936083.246878,3900478077.251802,333309551.7060495,72650355.24570552,1955694.677744955,GenX,26z-short-current-policies
1697471356.7196596,2073213674.6236174,254278672.33303332,56186814.77051126,2781714.3553178,GenX,26z-short-current-policies
999856773.4201502,473050430.78154445,294805306.48731583,71052960.81680158,5516754.994392048,GenX,26z-short-current-policies
3082936083.246878,3900478077.251802,333309551.7060495,72650355.24570552,71905915.26833458,GenX,26z-short-current-policies
1697471356.7196596,2073213674.6236174,254278672.33303332,56186814.77051126,92844878.95384039,GenX,26z-short-current-policies
999856773.4201502,473050430.78154445,294805306.48731583,71052960.81680158,145639721.9606864,GenX,26z-short-current-policies
3082936083.246878,3900478077.251802,333309551.7060495,72650355.24570552,71905915.26833458,GenX,26z-short-current-policies,2024-02-05
1697471356.7196596,2073213674.6236174,254278672.33303332,56186814.77051126,92844878.95384039,GenX,26z-short-current-policies,2024-02-05
999856773.4201502,473050430.78154445,294805306.48731583,71052960.81680158,145639721.9606864,GenX,26z-short-current-policies,2024-02-05
575993077.0336905,135833832.81857517,183602420.89107725,41372094.94297132,99216361.89876835,GenX,26z-short-base-50,2024-02-05
608488407.1640803,146492846.2059063,201676017.97852033,47532243.8997255,108179095.712288,GenX,26z-short-base-50,2024-02-05
504996885.44115233,33966072.44496746,210773908.88785952,52848805.78230676,112035328.77756558,GenX,26z-short-base-50,2024-02-05
575993077.0336905,135833832.81857517,183602420.89107725,41372094.94297132,99216361.89876835,GenX,26z-short-base-50,2024-02-05
608488407.1640803,146492846.2059063,201676017.97852033,47532243.8997255,108179095.712288,GenX,26z-short-base-50,2024-02-05
504996885.44115233,33966072.44496746,210773908.88785952,52848805.78230676,112035328.77756558,GenX,26z-short-base-50,2024-02-05
3082936083.246878,3900478077.251802,333309551.7060495,72650355.24570552,71905915.26833458,GenX,26z-short-current-policies,2024-02-08
1697471356.7196596,2073213674.6236174,254278672.33303332,56186814.77051126,92844878.95384039,GenX,26z-short-current-policies,2024-02-08
999856773.4201502,473050430.78154445,294805306.48731583,71052960.81680158,145639721.9606864,GenX,26z-short-current-policies,2024-02-08
