TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
25-26,2030,3.348845133073963e-08
25-26,2040,1.6275114228186195e-06
25-26,2050,2.4093923375054307e-08
25-20,2030,9999.999999862668
25-20,2040,4010.8803544574503
25-20,2050,752.2178734568206
26-20,2030,1607.4990964568392
26-20,2040,7330.6111980144815
26-20,2050,5.883925235913051e-07
4-23,2030,6.512438419129886e-08
4-23,2040,1166.4007380750515
4-23,2050,1005.4860044326981
9-7,2030,0.001467380279251989
9-7,2040,5.911952978746843e-08
9-7,2050,1.0322554292834159e-07
9-13,2030,2183.938725559878
9-13,2040,2642.449231816573
9-13,2050,260.1203486052896
9-6,2030,4.740792235998544e-09
9-6,2040,1.0213195714638382e-08
9-6,2050,2.4776059134153606e-08
9-19,2030,1.2424417801915742e-08
9-19,2040,1.3001806811625316e-07
9-19,2050,2.2902493120723375e-07
9-18,2030,4.085630217227921e-05
9-18,2040,339.8995414185305
9-18,2050,1030.6543255070821
7-6,2030,1791.105255962123
7-6,2040,2763.375552821773
7-6,2050,1239.6865921798505
7-16,2030,7.306565681449753e-09
7-16,2040,3.742277051425948e-09
7-16,2050,5.110433987810427e-09
13-6,2030,1.1187575700599103e-08
13-6,2040,3.279295755040064e-08
13-6,2050,8.291232548335998e-08
13-16,2030,5312.400448244385
13-16,2040,2562.592692002234
13-16,2050,2.407920994208833e-07
6-19,2030,2321.9242976188825
6-19,2040,1296.8544881298212
6-19,2050,1038.3699100807703
6-18,2030,7366.399726105575
6-18,2040,378.6858536846469
6-18,2050,1278.908231520915
6-20,2030,1278.0708726231244
6-20,2040,6712.867688067343
6-20,2050,1810.252624536864
6-8,2030,6.9439562541492464e-09
6-8,2040,1.4898076982212684e-08
6-8,2050,2.0565024056689844e-08
6-16,2030,2.316855208478555e-07
6-16,2040,6570.658794666305
6-16,2050,3156.9094557213266
6-22,2030,9.573457446653388e-09
6-22,2040,4.963253657962565e-09
6-22,2050,1.9330029628628917e-08
19-18,2030,1058.031798583388
19-18,2040,266.5119377425692
19-18,2050,1.8217336715386337e-06
19-20,2030,3312.0829890686055
19-20,2040,2578.1782143176683
19-20,2050,795.2801976289477
18-20,2030,1.2800115717057809e-07
18-20,2040,239.0297829548005
18-20,2050,694.8929017524778
18-8,2030,4407.270039129324
18-8,2040,5.8184367266980174e-08
18-8,2050,3.30762973156109e-07
20-8,2030,16969.999999506777
20-8,2040,14325.456144657874
20-8,2050,4371.416155825411
20-24,2030,3244.622765247302
20-24,2040,1630.003790578101
20-24,2050,640.1822053235303
8-23,2030,4884.381836138279
8-23,2040,9238.079424787371
8-23,2050,1610.1430919843324
8-22,2030,9.831095103524037e-09
8-22,2040,1.6612646327272564e-08
8-22,2050,4.279112151753869e-08
23-21,2030,8.417147822128087e-09
23-21,2040,4.9934478253951286e-08
23-21,2050,2.4335629902768474e-07
23-22,2030,5.364829243945619e-07
23-22,2040,2.7753947048561197e-08
23-22,2050,9.604637121042591e-08
21-14,2030,6.395462137320541e-08
21-14,2040,47.09356404991007
21-14,2050,3.808823785486038e-07
21-16,2030,6.504162330302291e-09
21-16,2040,1.5491370298298834e-08
21-16,2050,4.365632764725765e-08
21-22,2030,1.094519505259018e-08
21-22,2040,410.51715164601
21-22,2050,603.061237307118
14-16,2030,1.2729472932482353e-08
14-16,2040,1.776577027167089e-08
14-16,2050,5.165052145365731e-08
14-15,2030,2045.5967912770664
14-15,2040,10110.800838283334
14-15,2050,3175.4286494843086
16-15,2030,5864.536241325228
16-15,2040,9433.4107059389
16-15,2050,7559.38357878159
16-22,2030,1.9499657597635712e-08
16-22,2040,5.5281332302245137e-05
16-22,2050,636.8870045570287
15-12,2030,4168.73454819359
15-12,2040,867.60635095443
15-12,2050,2.6988378387322605e-07
15-11,2030,5876.756366217242
15-11,2040,4698.093506486236
15-11,2050,2288.221917988489
12-11,2030,1145.260248615941
12-11,2040,1186.7277320177727
12-11,2050,3.674104218046126e-06
12-5,2030,4726.541123459137
12-5,2040,764.0723354607716
12-5,2050,9.059676122636426e-08
11-5,2030,12.501805635778075
