GroupExposure_index_1,GroupExposure_index_2,GroupExposure
Asian,2030,2.279359370921955
Asian,2040,2.218979167892861
Asian,2050,2.5155488188990107
Black,2030,1.2606599369584899
Black,2040,1.2226563197501357
Black,2050,1.3821688240782979
Latino,2030,1.70394786235725
Latino,2040,1.6572304706064567
Latino,2050,1.8778773762956427
Native,2030,0.6031840423902043
Native,2040,0.5855157159950322
Native,2050,0.6637931806877252
WhiteNoLat,2030,0.8524260456082284
WhiteNoLat,2040,0.8281125374023718
WhiteNoLat,2050,0.9370776553342581
