PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2030,EmissionsCost,annual,62.88601213808163,10.216329742307174
2030,FuelCostsPerTP,timepoint,200503502738.43097,32573378861.512394
2030,GenVariableOMCostsInTP,timepoint,64415278627.36052,10464771171.285503
2030,NodeSpillageCosts,timepoint,31.116091762030536,5.055055057948047
2030,StorageEnergyFixedCost,annual,546702611.9452406,88816160.61691587
2030,TotalGenAmortizationAdjustment,annual,10843616450.645374,1761631203.7031507
2030,TotalGenFixedCosts,annual,875206301536.361,142184181585.68494
2030,TxFixedCosts,annual,79943453456.25705,12987445911.73281
2030,UnservedLoadPenalty,timepoint,29.753073453471597,4.833621960004675
2040,EmissionsCost,annual,81501944721.25816,16374074953.717289
2040,FuelCostsPerTP,timepoint,152317347474.96222,30601179798.05588
2040,GenVariableOMCostsInTP,timepoint,47690900721.53039,9581297546.8909
2040,NodeSpillageCosts,timepoint,31.05440304371857,6.238956933111872
2040,StorageEnergyFixedCost,annual,46747402808.76685,9391744946.703234
2040,TotalGenAmortizationAdjustment,annual,10187389079.64292,2046688247.0504453
2040,TotalGenFixedCosts,annual,1002064774548.1719,201318922917.0861
2040,TxFixedCosts,annual,94783476612.05084,19042389181.356846
2040,UnservedLoadPenalty,timepoint,541788218.5431647,108847475.11003679
2050,EmissionsCost,annual,98894833014.2278,32363493424.56986
2050,FuelCostsPerTP,timepoint,95520295787.55025,31259170680.723038
2050,GenVariableOMCostsInTP,timepoint,31840511851.437954,10419858798.797903
2050,NodeSpillageCosts,timepoint,33.95194298214575,11.110828037860808
2050,StorageEnergyFixedCost,annual,53777178235.72492,17598668213.26666
2050,TotalGenAmortizationAdjustment,annual,7431171418.185121,2431862818.299977
2050,TotalGenFixedCosts,annual,743222987346.169,243220919949.44174
2050,TxFixedCosts,annual,65374672260.40453,21393966816.533504
2050,UnservedLoadPenalty,timepoint,302031853.83225983,98840410.74324585
