generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
BASN_batteries_1,BASN_batteries_1,Batteries,BASN,Electricity,2030,-118.35650661223113,97829.04999663182,0.0,935.8,0.0,5834713.0,9.096288960489062,0.07977758969282765,770.5501732564433,652.1936666442123
BASN_battery_moderate_0,BASN_battery_moderate_0,Battery_*_Moderate,BASN,Electricity,2030,-8.505960672500713e-06,0.007030708133520901,0.0,2.1471125261494677e-05,0.5343289518191227,0.13445218638747966,14.418430551497325,0.24988511055494395,5.537734822930673e-05,4.6871387556806e-05
BASN_battery_moderate_0,BASN_battery_moderate_0,Battery_*_Moderate,BASN,Electricity,2040,-1302.5421713137634,1076632.5134589595,0.0,4112.888595903883,100695449.1642994,25343619.527959723,17.710179603994042,0.1997637400773833,8480.092261040161,7177.550089726398
BASN_battery_moderate_0,BASN_battery_moderate_0,Battery_*_Moderate,BASN,Electricity,2050,-3792.874366180418,3135047.7181372563,0.0,11404.99040822561,241807179.52249223,60857028.81829186,14.631320647359265,0.20977095084741873,24693.19248709546,20900.318120915046
BASN_biomass_1,BASN_biomass_1,Biomass,BASN,Waste_biomass,2030,104.52147340054577,479649.0414351047,0.0,29.0,0.0,4374650.0,46.443078953092495,0.4125673921645895,,
BASN_biomass_1,BASN_biomass_1,Biomass,BASN,Waste_biomass,2040,74.53468857556872,342039.68587328494,0.0,22.8,0.0,3439380.0,50.733688677580034,0.3742061914379735,,
BASN_biomass_1,BASN_biomass_1,Biomass,BASN,Waste_biomass,2050,50.5377512982162,231917.74070751417,0.0,15.3,0.0,2308005.0,50.257929477704415,0.3781045100599143,,
BASN_biomass_2,BASN_biomass_2,Biomass,BASN,Waste_biomass,2030,55.54429989880925,421858.9577314562,0.0,15.600000000000001,0.0,2353260.0,49.96226368479169,0.4075700600727409,,
BASN_biomass_2,BASN_biomass_2,Biomass,BASN,Waste_biomass,2040,50.66690090285423,384815.11235717783,0.0,15.600000000000001,0.0,2353260.0,54.04070633029251,0.3717809366991158,,
BASN_biomass_2,BASN_biomass_2,Biomass,BASN,Waste_biomass,2050,33.40987349518268,253747.98919591244,0.0,10.2,0.0,1538670.0,53.649349778422796,0.374940223631566,,
BASN_conventional_hydroelectric_1,BASN_conventional_hydroelectric_1,Conventional Hydroelectric,BASN,Water,2030,8894.968450044202,0.0,0.0,2566.2999999999993,0.0,120739282.39999998,13.573885402527761,0.39675678524059366,,
BASN_conventional_hydroelectric_1,BASN_conventional_hydroelectric_1,Conventional Hydroelectric,BASN,Water,2040,5731.137857462965,0.0,0.0,1773.8,0.0,83453742.39999999,14.561461349481991,0.3698482594758747,,
BASN_conventional_hydroelectric_1,BASN_conventional_hydroelectric_1,Conventional Hydroelectric,BASN,Water,2050,4755.654337126292,0.0,0.0,1549.7,0.0,72910285.6,15.331283653398918,0.35127724835598956,,
BASN_conventional_steam_coal_1,BASN_conventional_steam_coal_1,Conventional Steam Coal,BASN,Coal,2030,2.010428112586077e-06,0.0037775944235492395,0.0023679970666576726,1183.2,0.0,88801526.4,44170455958.03443,1.9449917439487038e-10,,
BASN_conventional_steam_coal_1,BASN_conventional_steam_coal_1,Conventional Steam Coal,BASN,Coal,2040,2.703800506594753e-06,0.005080441151891541,0.003184690677752236,733.2,0.0,55028126.4,20352139986.239037,4.221235321061672e-10,,
BASN_conventional_steam_coal_1,BASN_conventional_steam_coal_1,Conventional Steam Coal,BASN,Coal,2050,3.666006363160987,6888.425956379493,4318.031696814472,733.2,0.0,55028126.4,15012.252946146782,0.0005723453157755997,,
BASN_conventional_steam_coal_2,BASN_conventional_steam_coal_2,Conventional Steam Coal,BASN,Coal,2030,2.132957972042196e-06,0.004007828029467286,0.002132140622547309,2949.2,0.0,193374080.49639997,90660051925.5718,8.278762953325721e-11,,
BASN_conventional_steam_coal_2,BASN_conventional_steam_coal_2,Conventional Steam Coal,BASN,Coal,2040,10.201002687290407,19167.684049418673,10197.093663060632,2040.2,0.0,133772480.3434,13115.538945415883,0.0005723444731192863,,
BASN_conventional_steam_coal_2,BASN_conventional_steam_coal_2,Conventional Steam Coal,BASN,Coal,2050,3.3860112655606054,6362.315167988374,3384.7137460436406,677.2,0.0,44402864.27239999,13115.49876967564,0.0005723462265911181,,
BASN_distributed_generation_1,BASN_distributed_generation_1,distributed_generation,BASN,Solar,2030,3515.4734682286603,0.0,0.0,1642.0,0.0,0.0,0.0,0.2450744555289619,,
BASN_distributed_generation_1,BASN_distributed_generation_1,distributed_generation,BASN,Solar,2040,3510.5553648797245,0.0,0.0,1642.0,0.0,0.0,0.0,0.24473159943536069,,
BASN_distributed_generation_1,BASN_distributed_generation_1,distributed_generation,BASN,Solar,2050,3151.7452993829693,0.0,0.0,1642.0,0.0,0.0,0.0,0.21971784745155287,,
BASN_geothermal_1,BASN_geothermal_1,Geothermal,BASN,Heat,2030,3429.0141154341272,0.0,0.0,836.4999999999999,0.0,174912986.5,51.00970150945421,0.4692353282025731,,
BASN_geothermal_1,BASN_geothermal_1,Geothermal,BASN,Heat,2040,2261.639891129765,0.0,0.0,578.8000000000001,0.0,121027658.8,53.51323138342003,0.44728291322583014,,
BASN_geothermal_1,BASN_geothermal_1,Geothermal,BASN,Heat,2050,488.82974511752235,0.0,0.0,140.8,0.0,29441420.8,60.228374181529844,0.3974132517202218,,
BASN_hydrogen_ccavgcf_moderate_0,BASN_hydrogen_ccavgcf_moderate_0,Hydrogen_CCAvgCF_Moderate,BASN,Hydrogen,2030,7.324364243784954e-06,0.014648728487569904,0.0,2.978438364826635e-06,0.17321969129839407,0.08339627421514578,37.035937177931835,0.2814937075225386,,
BASN_hydrogen_ccavgcf_moderate_0,BASN_hydrogen_ccavgcf_moderate_0,Hydrogen_CCAvgCF_Moderate,BASN,Hydrogen,2040,1.294418237999743e-05,0.02588836475999486,0.0,5.133600235330778e-06,0.2932280984743031,0.14374080658926178,35.757937908755856,0.2886289914665935,,
BASN_hydrogen_ccavgcf_moderate_0,BASN_hydrogen_ccavgcf_moderate_0,Hydrogen_CCAvgCF_Moderate,BASN,Hydrogen,2050,2.0976225811292913e-05,0.041952451622585825,0.0,8.980732251419851e-06,0.4993194443459811,0.25146050303975587,37.79194627956101,0.26736402803697523,,
BASN_hydrogen_ctavgcf_moderate_0,BASN_hydrogen_ctavgcf_moderate_0,Hydrogen_CTAvgCF_Moderate,BASN,Hydrogen,2030,1.8003541517337952e-06,0.009001770758668974,0.0,2.5823996426616155e-06,0.12282387542763676,0.054230392495893925,103.34413287686876,0.07980348664328618,,
BASN_hydrogen_ctavgcf_moderate_0,BASN_hydrogen_ctavgcf_moderate_0,Hydrogen_CTAvgCF_Moderate,BASN,Hydrogen,2040,2.4396052171108814e-06,0.012198026085554406,0.0,3.496429185621124e-06,0.16384587094433234,0.07342501289804361,102.25790147447115,0.07986972540540418,,
BASN_hydrogen_ctavgcf_moderate_0,BASN_hydrogen_ctavgcf_moderate_0,Hydrogen_CTAvgCF_Moderate,BASN,Hydrogen,2050,4.1020815964093564e-06,0.02051040798204678,0.0,6.114845424465291e-06,0.2756769691840224,0.12841175391377113,103.5082118921041,0.07679026855215498,,
BASN_landbasedwind_class3_moderate_0,BASN_landbasedwind_class3_moderate_0,LandbasedWind_Class3_Moderate,BASN,Wind,2030,19049.991290253274,0.0,0.0,5035.16199961327,539953914.4885207,203254384.43838888,39.01357683597285,0.43308057840135744,,
BASN_landbasedwind_class3_moderate_0,BASN_landbasedwind_class3_moderate_0,LandbasedWind_Class3_Moderate,BASN,Wind,2040,17362.393305168443,0.0,0.0,5035.161999975877,539953914.5225446,203254384.45192373,42.80563663727338,0.39471489618684924,,
BASN_landbasedwind_class3_moderate_0,BASN_landbasedwind_class3_moderate_0,LandbasedWind_Class3_Moderate,BASN,Wind,2050,17303.93709669509,0.0,0.0,5035.1619999819995,539953914.5244793,203254384.4520762,42.950242758250795,0.3933859586457054,,
BASN_landbasedwind_class3_moderate_1,BASN_landbasedwind_class3_moderate_1,LandbasedWind_Class3_Moderate,BASN,Wind,2030,18120.627085716085,0.0,0.0,5509.417999395178,524543421.31879884,222398676.38158518,41.22054353677279,0.3764912384925919,,
BASN_landbasedwind_class3_moderate_1,BASN_landbasedwind_class3_moderate_1,LandbasedWind_Class3_Moderate,BASN,Wind,2040,15378.963166225334,0.0,0.0,5509.417999808202,524543421.35256886,222398676.39700112,48.56908035191699,0.3195278431238275,,
BASN_landbasedwind_class3_moderate_1,BASN_landbasedwind_class3_moderate_1,LandbasedWind_Class3_Moderate,BASN,Wind,2050,15320.06196571196,0.0,0.0,5509.417999858097,524543421.35749084,222398676.39866367,48.75581439735008,0.31830405622751007,,
BASN_landbasedwind_class3_moderate_10,BASN_landbasedwind_class3_moderate_10,LandbasedWind_Class3_Moderate,BASN,Wind,2030,8.711186646588077e-05,0.0,0.0,3.5059463376733927e-05,3.980594788083411,1.4152453581286184,61.94150538980157,0.28441953971064066,,
BASN_landbasedwind_class3_moderate_10,BASN_landbasedwind_class3_moderate_10,LandbasedWind_Class3_Moderate,BASN,Wind,2040,0.0009265696187676241,0.0,0.0,0.00038371272127497364,38.62021747750817,14.434997721914897,57.25982605601584,0.27641348913129243,,
BASN_landbasedwind_class3_moderate_10,BASN_landbasedwind_class3_moderate_10,LandbasedWind_Class3_Moderate,BASN,Wind,2050,16026.608541974128,0.0,0.0,5844.8919461072455,545990077.7048193,201192871.79570514,46.62140137407311,0.31387195828463665,,
BASN_landbasedwind_class3_moderate_11,BASN_landbasedwind_class3_moderate_11,LandbasedWind_Class3_Moderate,BASN,Wind,2030,0.0003324623143000168,0.0,0.0,0.000111210340957689,14.302072627246835,4.489227833439032,56.52159553858017,0.34220364103633694,,
BASN_landbasedwind_class3_moderate_11,BASN_landbasedwind_class3_moderate_11,LandbasedWind_Class3_Moderate,BASN,Wind,2040,0.0003157040506435436,0.0,0.0,0.0001272945423604407,16.142791748762342,5.089854224171194,67.25490512285816,0.2838950006439397,,
BASN_landbasedwind_class3_moderate_11,BASN_landbasedwind_class3_moderate_11,LandbasedWind_Class3_Moderate,BASN,Wind,2050,0.0009805001056979788,0.0,0.0,0.0004015114370251739,45.89195420496454,14.52891193533332,61.62249834464491,0.2795355832013628,,
BASN_landbasedwind_class3_moderate_12,BASN_landbasedwind_class3_moderate_12,LandbasedWind_Class3_Moderate,BASN,Wind,2030,5.321636141706633e-05,0.0,0.0,2.5062656236272827e-05,2.507855314341781,1.0117042442896251,66.13679449160337,0.24305550078766047,,
BASN_landbasedwind_class3_moderate_12,BASN_landbasedwind_class3_moderate_12,LandbasedWind_Class3_Moderate,BASN,Wind,2040,0.00012351476960574756,0.0,0.0,6.440785179147437e-05,5.886886418141286,2.480964900869801,67.74777903663517,0.21951664321421843,,
BASN_landbasedwind_class3_moderate_12,BASN_landbasedwind_class3_moderate_12,LandbasedWind_Class3_Moderate,BASN,Wind,2050,0.00034185754224914553,0.0,0.0,0.00018034571502973222,15.15547414758296,6.4717342049303035,63.2638034259059,0.21698350118784443,,
BASN_landbasedwind_class3_moderate_13,BASN_landbasedwind_class3_moderate_13,LandbasedWind_Class3_Moderate,BASN,Wind,2030,0.00013094941438112977,0.0,0.0,4.666769648852515e-05,6.415012065014862,1.8838349041522948,63.37444889225137,0.32119928547912,,
BASN_landbasedwind_class3_moderate_13,BASN_landbasedwind_class3_moderate_13,LandbasedWind_Class3_Moderate,BASN,Wind,2040,3922.533338453492,0.0,0.0,1237.409998323378,152537828.236575,46208601.70850665,50.66787527252475,0.3628610870305042,,
BASN_landbasedwind_class3_moderate_13,BASN_landbasedwind_class3_moderate_13,LandbasedWind_Class3_Moderate,BASN,Wind,2050,3925.8661237022184,0.0,0.0,1237.4099984595807,152537828.25396782,46208601.713153735,50.62486180239311,0.3631693923569461,,
BASN_landbasedwind_class3_moderate_14,BASN_landbasedwind_class3_moderate_14,LandbasedWind_Class3_Moderate,BASN,Wind,2030,6.43301615412832e-05,0.0,0.0,2.7203789547163262e-05,3.0994735676385017,1.0981353726503393,65.2510243984864,0.27069024813482945,,
BASN_landbasedwind_class3_moderate_14,BASN_landbasedwind_class3_moderate_14,LandbasedWind_Class3_Moderate,BASN,Wind,2040,0.0003102167613899974,0.0,0.0,0.0001361706930133362,13.968885367597283,5.167280487121066,61.68643424995595,0.26077682083944387,,
BASN_landbasedwind_class3_moderate_14,BASN_landbasedwind_class3_moderate_14,LandbasedWind_Class3_Moderate,BASN,Wind,2050,0.001447809238552332,0.0,0.0,0.0006309535265176046,60.38468881173424,22.198658351588353,57.04021287079083,0.2626644792990037,,
