TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
25-26,2030,TRE,TRE_WEST,1,694.9819646586291,0.943376254132344,0.95,16529.000000033488,15702.550000031812,697961256.0486646
25-26,2040,TRE,TRE_WEST,1,694.9819646586291,0.943376254132344,0.95,16529.000001661,15702.550001577949,697961256.1173886
25-26,2050,TRE,TRE_WEST,1,694.9819646586291,0.943376254132344,0.95,16529.000001685094,15702.550001600837,697961256.118406
25-20,2030,TRE,SPPS,2,501.3042951289656,0.9578052407961624,0.95,10599.999999862668,10069.999999869535,349586897.65667546
25-20,2040,TRE,SPPS,2,501.3042951289656,0.9578052407961624,0.95,14610.880354320117,13880.33633660411,481865314.6382842
25-20,2050,TRE,SPPS,2,501.3042951289656,0.9578052407961624,0.95,15363.098227776938,14594.943316388091,506673381.87857467
26-20,2030,TRE_WEST,SPPS,3,594.5912331781975,0.9661112536396236,0.95,1827.4990964568392,1736.1241416339972,53823944.100822166
26-20,2040,TRE_WEST,SPPS,3,594.5912331781975,0.9661112536396236,0.95,9158.11029447132,8700.204779747753,269726872.92402714
26-20,2050,TRE_WEST,SPPS,3,594.5912331781975,0.9661112536396236,0.95,9158.110295059712,8700.204780306727,269726872.94135666
4-23,2030,FRCC,SRSE,4,930.705776696937,0.922862516082419,0.95,3600.0000000651244,3420.000000061868,247763086.61101058
4-23,2040,FRCC,SRSE,4,930.705776696937,0.922862516082419,0.95,4766.400738140176,4528.080701233167,328038377.46812385
4-23,2050,FRCC,SRSE,4,930.705776696937,0.922862516082419,0.95,5771.886742572874,5483.29240544423,397239020.80087686
9-7,2030,MISW,MISE,5,1338.0895372438338,0.9095498714554684,0.95,0.001467380279251989,0.0013940112652893895,132.47607933336414
9-7,2040,MISW,MISE,5,1338.0895372438338,0.9095498714554684,0.95,0.0014674393987817766,0.0013940674288426876,132.48141668430787
9-7,2050,MISW,MISE,5,1338.0895372438338,0.9095498714554684,0.95,0.0014675426243247048,0.0013941654931084696,132.49073595580657
9-13,2030,MISW,PJMC,6,577.3769837220765,0.9443337093609498,0.95,5383.938725559878,5114.741789281884,236514241.3265025
9-13,2040,MISW,PJMC,6,577.3769837220765,0.9443337093609498,0.95,8026.387957376452,7625.068559507628,352595962.75097966
9-13,2050,MISW,PJMC,6,577.3769837220765,0.9443337093609498,0.95,8286.50830598174,7872.182890682653,364022944.0076372
9-6,2030,MISW,MISC,7,1370.4981771620598,0.8979094653249757,0.95,1655.0000000047407,1572.2500000045036,145174827.1570532
9-6,2040,MISW,MISC,7,1370.4981771620598,0.8979094653249757,0.95,1655.000000014954,1572.250000014206,145174827.1579491
9-6,2050,MISW,MISC,7,1370.4981771620598,0.8979094653249757,0.95,1655.0000000397301,1572.2500000377436,145174827.16012242
9-19,2030,MISW,SPPN,8,1014.1486283848258,0.9329095304287599,0.95,5512.000000012425,5236.400000011803,355981407.072394
9-19,2040,MISW,SPPN,8,1014.1486283848258,0.9329095304287599,0.95,5512.000000142442,5236.40000013532,355981407.08079094
9-19,2050,MISW,SPPN,8,1014.1486283848258,0.9329095304287599,0.95,5512.000000371468,5236.400000352894,355981407.0955821
9-18,2030,MISW,SPPC,9,1195.0293103479462,0.9225993318813966,0.95,4.085630217227921e-05,3.881348706366525e-05,2.8588506023488023
9-18,2040,MISW,SPPC,9,1195.0293103479462,0.9225993318813966,0.95,339.89958227483265,322.904603161091,23783898.048997197
9-18,2050,MISW,SPPC,9,1195.0293103479462,0.9225993318813966,0.95,1370.5539077819149,1302.0262123928192,95902190.27389894
7-6,2030,MISE,MISC,10,993.3851724175372,0.9259966673153565,0.95,1791.105255962123,1701.5499931640168,106869506.57430586
7-6,2040,MISE,MISC,10,993.3851724175372,0.9259966673153565,0.95,4554.480808783896,4326.7567683447005,271751263.7052825
7-6,2050,MISE,MISC,10,993.3851724175372,0.9259966673153565,0.95,5794.167400963746,5504.459030915559,345719387.00347304
7-16,2030,MISE,PJMW,11,672.2944948093907,0.9124339212689138,0.95,2662.0000000073064,2528.900000006941,137883556.40872875
7-16,2040,MISE,PJMW,11,672.2944948093907,0.9124339212689138,0.95,2662.000000011049,2528.9000000104966,137883556.4089226
7-16,2050,MISE,PJMW,11,672.2944948093907,0.9124339212689138,0.95,2662.0000000161594,2528.9000000153515,137883556.40918732
13-6,2030,PJMC,MISC,12,626.2046711986147,0.9533516120098756,0.95,5244.000000011188,4981.800000010628,191091551.07047355
