TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
25-26,2030,2.5215125364596645e-08
25-26,2040,3.83669054735954e-09
25-26,2050,9.768355009253383e-07
25-20,2030,9999.999999967993
25-20,2040,9735.280700196061
25-20,2050,1.9846755802991222e-06
26-20,2030,3954.964531075846
26-20,2040,3058.498826667335
26-20,2050,5.469828780698538e-07
4-23,2030,2.1041186529734555e-07
4-23,2040,7138.813776283787
4-23,2050,5679.1363830213195
9-7,2030,84.20164527350293
9-7,2040,7.866500387038244e-08
9-7,2050,2.597534786818042e-07
9-13,2030,5798.712239335554
9-13,2040,641.7675473798397
9-13,2050,2541.931626558503
9-6,2030,2.693407816424163e-08
9-6,2040,2.619693849099911e-08
9-6,2050,1.57744885233253e-07
9-19,2030,4.0909021906987976e-07
9-19,2040,1.0357795467280668e-05
9-19,2050,495.7690973267091
9-18,2030,8.486952465833464e-05
9-18,2040,1356.7746032565096
9-18,2050,5.671795253584198e-07
7-6,2030,3632.6249072096953
7-6,2040,2806.219414883095
7-6,2050,659.5325801816324
7-16,2030,2.7729895986323433e-08
7-16,2040,3.0330722863524916e-08
7-16,2050,9.520538223336743e-08
13-6,2030,1.0394783796570813e-07
13-6,2040,2.2955896064159507e-07
13-6,2050,4.397972815288953e-08
13-16,2030,9999.999998699575
13-16,2040,230.7229205574318
13-16,2050,1883.1335313576515
6-19,2030,9999.998299479532
6-19,2040,396.5608637187792
6-19,2050,3.1952203778510327e-07
6-18,2030,5069.3047682808165
6-18,2040,6.728378666426146e-06
6-18,2050,2.064506214419181e-06
6-20,2030,7949.122950794817
6-20,2040,9567.162334290702
6-20,2050,2.441548440824082e-05
6-8,2030,8.305504005216602e-08
6-8,2040,4.655169493311209e-07
6-8,2050,4.02293009946021e-07
6-16,2030,8427.016117591349
6-16,2040,8640.206468308932
6-16,2050,2.10248273545492e-07
6-22,2030,1.6809411501621742e-07
6-22,2040,1.6936842492845158e-08
6-22,2050,2.4758341502274525e-08
19-18,2030,1558.0424628740936
19-18,2040,214.46160162545956
19-18,2050,1.467784277119681e-05
19-20,2030,4390.569573735747
19-20,2040,1338.471172415136
19-20,2050,998.3984183851086
18-20,2030,5.589599856966476e-07
18-20,2040,2.7141540421827667e-07
18-20,2050,6.41965581753579e-07
18-8,2030,9723.632297896835
18-8,2040,2.694938044217744e-07
18-8,2050,2.639851802735911e-07
20-8,2030,16969.99999932021
20-8,2040,16969.999996604034
20-8,2050,8906.597999310123
20-24,2030,4793.4537362126775
20-24,2040,2319.094448022138
20-24,2050,0.00019464941241702306
8-23,2030,9999.999999261772
8-23,2040,9999.999998085912
8-23,2050,6185.532536908341
8-22,2030,1.3758330388745617e-07
8-22,2040,1.9856271621892777e-08
8-22,2050,4.884480741239501e-08
23-21,2030,3.0827400888273917e-07
23-21,2040,125.37009846091998
23-21,2050,833.9323430386057
23-22,2030,3.215753566765974e-07
23-22,2040,9.901129923396163e-08
23-22,2050,2.1896023815686564e-07
21-14,2030,3.442395210182474e-07
21-14,2040,88.56307394111056
21-14,2050,0.0002735822285440702
21-16,2030,5.641566949902814e-08
21-16,2040,1.2446467730765874e-07
21-16,2050,3.780789192434745e-07
21-22,2030,2.0279920189767435e-07
21-22,2040,875.9035960431362
21-22,2050,282.36007056070207
14-16,2030,2.490097283511238e-07
14-16,2040,9.631852628646804e-09
14-16,2050,2.5139336188226102e-08
14-15,2030,2021.5892679068013
14-15,2040,10965.493361311283
14-15,2050,4573.5684581597925
16-15,2030,4406.423314540238
16-15,2040,7812.522339150061
16-15,2050,1104.6755411140323
16-22,2030,3.548502685622222e-07
16-22,2040,2322.9174751651144
16-22,2050,166.84791306265015
15-12,2030,3982.2999442846517
15-12,2040,3.7335363628657353e-07
15-12,2050,5.8108533939900714e-08
15-11,2030,3435.516470197621
15-11,2040,5912.507428066267
15-11,2050,1902.8652185255708
12-11,2030,5113.243402742899
12-11,2040,4.932329329685494e-07
12-11,2050,2.5776149346082316e-07
12-5,2030,3590.876806862078
12-5,2040,1859.199663691561
12-5,2050,3.9473258243806536e-07
11-5,2030,1315.691363465416
11-5,2040,5.133030420048835e-07
11-5,2050,3.107866190258667e-07
17-1,2030,9.053474696484002e-08
17-1,2040,3.8441022522411264e-07
17-1,2050,1.0042834594792798e-07
17-10,2030,5371.524545601407
17-10,2040,995.1763236428669
