generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
BASN_batteries_1,BASN_batteries_1,Batteries,BASN,Electricity,2030,-90.48638321779727,74792.65215303561,0.0,935.8,0.0,5834713.0,11.851777177378485,0.06099187833990709,589.1040642380347,498.61768102023746
BASN_battery_moderate_0,BASN_battery_moderate_0,Battery_*_Moderate,BASN,Electricity,2030,-8.527252174719865e-06,0.01245250269493936,0.0,3.231051969639685e-05,0.8041354786331398,0.20232847433883708,12.273634633474112,0.29410933996709876,9.154393680764894e-05,8.301668463292908e-05
BASN_battery_moderate_0,BASN_battery_moderate_0,Battery_*_Moderate,BASN,Electricity,2040,-951.5427817781712,786509.5853699764,0.0,3313.5080840131186,81124294.28847602,20417836.813688837,19.515713970491372,0.18113905634847832,6194.940017578014,5243.397235799843
BASN_battery_moderate_0,BASN_battery_moderate_0,Battery_*_Moderate,BASN,Electricity,2050,-3143.715734124881,2598477.5436307862,0.0,11796.105735463261,250099557.75029567,62944020.20443196,18.220787953625322,0.16810337266534572,20466.899358330124,17323.183624205245
BASN_biomass_1,BASN_biomass_1,Biomass,BASN,Waste_biomass,2030,91.95431128720342,421978.3344969766,0.0,29.0,0.0,4374650.0,52.16316959316389,0.3629622619331953,,
BASN_biomass_1,BASN_biomass_1,Biomass,BASN,Waste_biomass,2040,61.63894432259087,282861.1154963696,0.0,22.8,0.0,3439380.0,60.38781417176472,0.30946227910818147,,
BASN_biomass_1,BASN_biomass_1,Biomass,BASN,Waste_biomass,2050,38.79929240305843,178049.95283763518,0.0,15.3,0.0,2308005.0,64.07474979212938,0.29028176101787834,,
BASN_biomass_2,BASN_biomass_2,Biomass,BASN,Waste_biomass,2030,49.134573645720714,373177.0868392488,0.0,15.600000000000001,0.0,2353260.0,55.48917767146847,0.3605371058581695,,
BASN_biomass_2,BASN_biomass_2,Biomass,BASN,Waste_biomass,2040,41.853517217612406,317877.4632677662,0.0,15.600000000000001,0.0,2353260.0,63.821098938459656,0.3071105506364205,,
BASN_biomass_2,BASN_biomass_2,Biomass,BASN,Waste_biomass,2050,25.800706128328592,195956.36304465565,0.0,10.2,0.0,1538670.0,67.23173987630032,0.28954681696123985,,
BASN_conventional_hydroelectric_1,BASN_conventional_hydroelectric_1,Conventional Hydroelectric,BASN,Water,2030,8763.931750729633,0.0,0.0,2566.2999999999993,0.0,120739282.39999998,13.776839646195091,0.3909119416236016,,
BASN_conventional_hydroelectric_1,BASN_conventional_hydroelectric_1,Conventional Hydroelectric,BASN,Water,2040,5625.09026104825,0.0,0.0,1773.8,0.0,83453742.39999999,14.835982806869337,0.36300467624143734,,
