TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
25-26,2030,TRE,TRE_WEST,1,694.9819646586291,0.943376254132344,0.95,16529.000000025215,15702.550000023954,697961256.0483153
25-26,2040,TRE,TRE_WEST,1,694.9819646586291,0.943376254132344,0.95,16529.000000029053,15702.550000027599,697961256.0484773
25-26,2050,TRE,TRE_WEST,1,694.9819646586291,0.943376254132344,0.95,16529.000001005887,15702.55000095559,697961256.0897255
25-20,2030,TRE,SPPS,2,501.3042951289656,0.9578052407961624,0.95,10599.999999967993,10069.999999969594,349586897.6601491
25-20,2040,TRE,SPPS,2,501.3042951289656,0.9578052407961624,0.95,20335.280700164054,19318.51666515585,670655442.7396342
25-20,2050,TRE,SPPS,2,501.3042951289656,0.9578052407961624,0.95,20335.280702148728,19318.51666704129,670655442.8050885
26-20,2030,TRE_WEST,SPPS,3,594.5912331781975,0.9661112536396236,0.95,4174.964531075846,3966.2163045220536,122962062.18608585
26-20,2040,TRE_WEST,SPPS,3,594.5912331781975,0.9661112536396236,0.95,7233.463357743181,6871.790189856022,213041707.2037712
26-20,2050,TRE_WEST,SPPS,3,594.5912331781975,0.9661112536396236,0.95,7233.463358290164,6871.790190375656,213041707.2198811
4-23,2030,FRCC,SRSE,4,930.705776696937,0.922862516082419,0.95,3600.000000210412,3420.0000001998915,247763086.6210097
4-23,2040,FRCC,SRSE,4,930.705776696937,0.922862516082419,0.95,10738.813776494198,10201.873087669488,739078235.4880315
4-23,2050,FRCC,SRSE,4,930.705776696937,0.922862516082419,0.95,16417.950159515516,15597.05265153974,1129933890.9093642
9-7,2030,MISW,MISE,5,1338.0895372438338,0.9095498714554684,0.95,84.20164527350293,79.99156300982779,7601781.21307353
9-7,2040,MISW,MISE,5,1338.0895372438338,0.9095498714554684,0.95,84.20164535216794,79.99156308455954,7601781.22017546
9-7,2050,MISW,MISE,5,1338.0895372438338,0.9095498714554684,0.95,84.20164561192142,79.99156333132535,7601781.243626179
9-13,2030,MISW,PJMC,6,577.3769837220765,0.9443337093609498,0.95,8998.712239335553,8548.776627368776,395309773.5117028
9-13,2040,MISW,PJMC,6,577.3769837220765,0.9443337093609498,0.95,9640.479786715394,9158.455797379624,423502361.1902947
9-13,2050,MISW,PJMC,6,577.3769837220765,0.9443337093609498,0.95,12182.411413273898,11573.290842610202,535168385.04475594
9-6,2030,MISW,MISC,7,1370.4981771620598,0.8979094653249757,0.95,1655.000000026934,1572.2500000255873,145174827.15899998
9-6,2040,MISW,MISC,7,1370.4981771620598,0.8979094653249757,0.95,1655.000000053131,1572.2500000504745,145174827.16129795
9-6,2050,MISW,MISC,7,1370.4981771620598,0.8979094653249757,0.95,1655.000000210876,1572.2500002003321,145174827.17513517
9-19,2030,MISW,SPPN,8,1014.1486283848258,0.9329095304287599,0.95,5512.00000040909,5236.400000388635,355981407.09801185
9-19,2040,MISW,SPPN,8,1014.1486283848258,0.9329095304287599,0.95,5512.000010766886,5236.400010228541,355981407.76694924
9-19,2050,MISW,SPPN,8,1014.1486283848258,0.9329095304287599,0.95,6007.769108093595,5707.380652688915,387999655.3810593
9-18,2030,MISW,SPPC,9,1195.0293103479462,0.9225993318813966,0.95,8.486952465833464e-05,8.06260484254179e-05,5.938601361117777
9-18,2040,MISW,SPPC,9,1195.0293103479462,0.9225993318813966,0.95,1356.7746881260343,1288.9359537197327,94938012.69740163
9-18,2050,MISW,SPPC,9,1195.0293103479462,0.9225993318813966,0.95,1356.7746886932139,1288.935954258553,94938012.73708905
7-6,2030,MISE,MISC,10,993.3851724175372,0.9259966673153565,0.95,3632.6249072096953,3450.99366184921,216747078.43704942
7-6,2040,MISE,MISC,10,993.3851724175372,0.9259966673153565,0.95,6438.84432209279,6116.902105988151,384185191.41757196
7-6,2050,MISE,MISC,10,993.3851724175372,0.9259966673153565,0.95,7098.376902274423,6743.458057160701,423537385.3654526
7-16,2030,MISE,PJMW,11,672.2944948093907,0.9124339212689138,0.95,2662.00000002773,2528.9000000263436,137883556.40978664
7-16,2040,MISE,PJMW,11,672.2944948093907,0.9124339212689138,0.95,2662.000000058061,2528.9000000551578,137883556.41135767
7-16,2050,MISE,PJMW,11,672.2944948093907,0.9124339212689138,0.95,2662.0000001532662,2528.900000145603,137883556.41628903
13-6,2030,PJMC,MISC,12,626.2046711986147,0.9533516120098756,0.95,5244.000000103948,4981.80000009875,191091551.07385373
13-6,2040,PJMC,MISC,12,626.2046711986147,0.9533516120098756,0.95,5244.000000333507,4981.800000316832,191091551.0822189
13-6,2050,PJMC,MISC,12,626.2046711986147,0.9533516120098756,0.95,5244.000000377487,4981.800000358612,191091551.0838215
13-16,2030,PJMC,PJMW,13,484.9526117173539,0.9263947470467947,0.95,10979.999998699575,10430.999998764597,404913862.6645751
13-16,2040,PJMC,PJMW,13,484.9526117173539,0.9263947470467947,0.95,11210.722919257007,10650.186773294156,413422324.32024235
13-16,2050,PJMC,PJMW,13,484.9526117173539,0.9263947470467947,0.95,13093.856450614658,12439.163628083925,482867394.6467921
6-19,2030,MISC,SPPN,14,919.2234841721058,0.9410931721523927,0.95,9999.998299479532,9499.998384505554,522088180.13627094
6-19,2040,MISC,SPPN,14,919.2234841721058,0.9410931721523927,0.95,10396.559163198312,9876.731205038395,542792157.6222452
6-19,2050,MISC,SPPN,14,919.2234841721058,0.9410931721523927,0.95,10396.559163517833,9876.731205341941,542792157.6389271
6-18,2030,MISC,SPPC,15,696.0754685319118,0.9481500944878907,0.95,6499.3047682808165,6174.339529866776,272007658.46134937
6-18,2040,MISC,SPPC,15,696.0754685319118,0.9481500944878907,0.95,6499.3047750091955,6174.339536258735,272007658.7429442
6-18,2050,MISC,SPPC,15,696.0754685319118,0.9481500944878907,0.95,6499.304777073702,6174.339538220017,272007658.82934755
6-20,2030,MISC,SPPS,16,1164.3004320004338,0.9271267398789302,0.95,9121.122950794817,8665.066803255077,531785763.35936177
6-20,2040,MISC,SPPS,16,1164.3004320004338,0.9271267398789302,0.95,18688.28528508552,17753.871020831244,1089576810.8619473
6-20,2050,MISC,SPPS,16,1164.3004320004338,0.9271267398789302,0.95,18688.285309501003,17753.871044025953,1089576812.285435
6-8,2030,MISC,MISS,17,1432.2313664952487,0.9118546781113521,0.95,1039.000000083055,987.0500000789023,69279036.61508249
6-8,2040,MISC,MISS,17,1432.2313664952487,0.9118546781113521,0.95,1039.000000548572,987.0500005211433,69279036.6461225
6-8,2050,MISC,MISS,17,1432.2313664952487,0.9118546781113521,0.95,1039.000000950865,987.0500009033216,69279036.67294681
6-16,2030,MISC,PJMW,18,636.7767278564246,0.8808216794997143,0.95,13868.016117591349,13174.615311711781,712723365.2353086
6-16,2040,MISC,PJMW,18,636.7767278564246,0.8808216794997143,0.95,22508.22258590028,21382.811456605265,1156772245.6378634
6-16,2050,MISC,PJMW,18,636.7767278564246,0.8808216794997143,0.95,22508.22258611053,21382.811456805,1156772245.6486688
6-22,2030,MISC,SRCE,19,807.5788459671032,0.8994314050331473,0.95,3745.000000168094,3557.750000159689,218469302.5434774
6-22,2040,MISC,SRCE,19,807.5788459671032,0.8994314050331473,0.95,3745.000000185031,3557.750000175779,218469302.5444654
6-22,2050,MISC,SRCE,19,807.5788459671032,0.8994314050331473,0.95,3745.0000002097895,3557.7500001993,218469302.54590973
19-18,2030,SPPN,SPPC,20,261.19343417595013,0.9805410901794434,0.95,2991.042462874094,2841.490339730389,47553671.73460183
19-18,2040,SPPN,SPPC,20,261.19343417595013,0.9805410901794434,0.95,3205.5040644995534,3045.2288612745756,50963331.31983366
19-18,2050,SPPN,SPPC,20,261.19343417595013,0.9805410901794434,0.95,3205.504079177396,3045.228875218526,50963331.5531922
19-20,2030,SPPN,SPPS,21,679.4249275747745,0.9612727791748047,0.95,4390.569573735747,4171.0410950489595,143641958.57891357
19-20,2040,SPPN,SPPS,21,679.4249275747745,0.9612727791748047,0.95,5729.040746150883,5442.588708843338,187431407.1864979
19-20,2050,SPPN,SPPS,21,679.4249275747745,0.9612727791748047,0.95,6727.439164535992,6391.067206309192,220095029.03565666
18-20,2030,SPPC,SPPS,22,455.0277413171593,0.9661004356079101,0.95,3372.00000055896,3203.4000005310118,91157505.62115428
18-20,2040,SPPC,SPPS,22,455.0277413171593,0.9661004356079101,0.95,3372.0000008303755,3203.4000007888567,91157505.62849163
18-20,2050,SPPC,SPPS,22,455.0277413171593,0.9661004356079101,0.95,3372.000001472341,3203.400001398724,91157505.6458463
18-8,2030,SPPC,MISS,23,1264.309793619994,0.9279343405761719,0.95,9723.632297896835,9237.450683001993,485827443.46340257
18-8,2040,SPPC,MISS,23,1264.309793619994,0.9279343405761719,0.95,9723.632298166329,9237.450683258012,485827443.4768675
18-8,2050,SPPC,MISS,23,1264.309793619994,0.9279343405761719,0.95,9723.632298430313,9237.450683508798,485827443.4900571
20-8,2030,SPPS,MISS,24,1083.4402589451677,0.9382468606952876,0.95,18666.99999932021,17733.6499993542,833265804.1145984
20-8,2040,SPPS,MISS,24,1083.4402589451677,0.9382468606952876,0.95,35636.99999592424,33855.14999612803,1590780171.3675015
20-8,2050,SPPS,MISS,24,1083.4402589451677,0.9382468606952876,0.95,44543.59799523436,42316.41809547264,1988356833.07484
20-24,2030,SPPS,SRSG,25,1530.6511537017682,0.8724003059946697,0.95,5803.4537362126775,5513.281049402043,366740229.4333096
20-24,2040,SPPS,SRSG,25,1530.6511537017682,0.8724003059946697,0.95,8122.548184234815,7716.420775023074,513291794.86375815
20-24,2050,SPPS,SRSG,25,1530.6511537017682,0.8724003059946697,0.95,8122.5483788842275,7716.420959940016,513291807.1643249
8-23,2030,MISS,SRSE,26,825.7437764420143,0.9483456161651612,0.95,10890.999999261772,10346.449999298684,615382431.5372587
8-23,2040,MISS,SRSE,26,825.7437764420143,0.9483456161651612,0.95,20890.999997347684,19846.4499974803,1180420014.3682034
8-23,2050,MISS,SRSE,26,825.7437764420143,0.9483456161651612,0.95,27076.532534256025,25722.705907543223,1529925849.7527869
8-22,2030,MISS,SRCE,27,910.5740119711644,0.943088938652119,0.95,4092.0000001375834,3887.400000130704,219413147.15689316
8-22,2040,MISS,SRCE,27,910.5740119711644,0.943088938652119,0.95,4092.0000001574394,3887.4000001495674,219413147.15795785
8-22,2050,MISS,SRCE,27,910.5740119711644,0.943088938652119,0.95,4092.0000002062843,3887.40000019597,219413147.1605769
23-21,2030,SRSE,SRCA,28,750.9564568673487,0.8963313736775718,0.95,1400.000000308274,1330.0000002928602,96035395.20026207
23-21,2040,SRSE,SRCA,28,750.9564568673487,0.8963313736775718,0.95,1525.370098769194,1449.1015938307344,104635371.59264714
23-21,2050,SRSE,SRCA,28,750.9564568673487,0.8963313736775718,0.95,2359.3024418078,2241.3373197174096,161840387.39004585
23-22,2030,SRSE,SRCE,29,808.9930595294763,0.9397319224320263,0.95,3196.0000003215755,3036.2000003054964,197589437.22756973
23-22,2040,SRSE,SRCE,29,808.9930595294763,0.9397319224320263,0.95,3196.0000004205867,3036.200000399557,197589437.23369098
23-22,2050,SRSE,SRCE,29,808.9930595294763,0.9397319224320263,0.95,3196.0000006395467,3036.200000607569,197589437.24722797
21-14,2030,SRCA,PJMD,30,525.2547915890101,0.8886073669284953,0.95,1000.0000003442395,950.0000003270275,50825943.522971645
21-14,2040,SRCA,PJMD,30,525.2547915890101,0.8886073669284953,0.95,1088.56307428535,1034.1349205710824,55327245.31577376
21-14,2050,SRCA,PJMD,30,525.2547915890101,0.8886073669284953,0.95,1088.5633478675786,1034.1351804741996,55327259.22084866
21-16,2030,SRCA,PJMW,31,900.2912298442393,0.8579852671144543,0.95,1219.0000000564157,1158.0500000535949,91431908.9360375
21-16,2040,SRCA,PJMW,31,900.2912298442393,0.8579852671144543,0.95,1219.0000001808803,1158.0500001718362,91431908.94537304
21-16,2050,SRCA,PJMW,31,900.2912298442393,0.8579852671144543,0.95,1219.0000005589593,1158.0500005310114,91431908.97373112
21-22,2030,SRCA,SRCE,32,1047.313910703395,0.8844974272974392,0.95,216.0000002027992,205.20000019265925,17442329.45841477
21-22,2040,SRCA,SRCE,32,1047.313910703395,0.8844974272974392,0.95,1091.9035962459354,1037.3084164336385,88172880.76235238
21-22,2050,SRCA,SRCE,32,1047.313910703395,0.8844974272974392,0.95,1374.2636668066375,1305.5504834663056,110973887.11419025
