REGIONAL_CO2_RULES_1,REGIONAL_CO2_RULES_2,REGIONAL_CO2_RULES_3,AnnualCapViolation
ETS 1,2030,BASN,0.0
ETS 1,2030,CANO,0.0
ETS 1,2030,CASO,0.06510305473342587
ETS 1,2030,FRCC,0.0
ETS 1,2030,ISNE,0.0
ETS 1,2030,MISC,0.0
ETS 1,2030,MISE,0.0
ETS 1,2030,MISS,0.0
ETS 1,2030,MISW,0.0
ETS 1,2030,NWPP,0.0
ETS 1,2030,NYCW,0.0
ETS 1,2030,NYUP,0.0
ETS 1,2030,PJMC,0.0
ETS 1,2030,PJMD,0.0
ETS 1,2030,PJME,0.0
ETS 1,2030,PJMW,0.0
ETS 1,2030,RMRG,0.0
ETS 1,2030,SPPC,0.0
ETS 1,2030,SPPN,0.0
ETS 1,2030,SPPS,0.0
ETS 1,2030,SRCA,0.0
ETS 1,2030,SRCE,0.0
ETS 1,2030,SRSE,0.0
ETS 1,2030,SRSG,0.0
ETS 1,2030,TRE,0.0
ETS 1,2030,TRE_WEST,0.0
ETS 1,2040,BASN,0.0
ETS 1,2040,CANO,0.0
ETS 1,2040,CASO,0.0
ETS 1,2040,FRCC,0.0
ETS 1,2040,ISNE,0.0
ETS 1,2040,MISC,0.0
ETS 1,2040,MISE,0.0
ETS 1,2040,MISS,11545992.322890585
ETS 1,2040,MISW,0.0
ETS 1,2040,NWPP,0.0
ETS 1,2040,NYCW,0.0
ETS 1,2040,NYUP,0.0
ETS 1,2040,PJMC,0.0
ETS 1,2040,PJMD,0.0
ETS 1,2040,PJME,0.0
ETS 1,2040,PJMW,0.0
ETS 1,2040,RMRG,0.0
ETS 1,2040,SPPC,0.0
ETS 1,2040,SPPN,0.0
ETS 1,2040,SPPS,0.0
ETS 1,2040,SRCA,0.0
ETS 1,2040,SRCE,0.0
ETS 1,2040,SRSE,0.0
ETS 1,2040,SRSG,0.0
ETS 1,2040,TRE,0.0
ETS 1,2040,TRE_WEST,0.0
ETS 1,2050,BASN,0.0
ETS 1,2050,CANO,0.0
ETS 1,2050,CASO,0.0
ETS 1,2050,FRCC,0.0
ETS 1,2050,ISNE,0.0
ETS 1,2050,MISC,0.0
ETS 1,2050,MISE,0.0
ETS 1,2050,MISS,0.0
ETS 1,2050,MISW,0.0
ETS 1,2050,NWPP,0.0
ETS 1,2050,NYCW,0.0
ETS 1,2050,NYUP,0.0
ETS 1,2050,PJMC,0.0
ETS 1,2050,PJMD,0.0
ETS 1,2050,PJME,0.0
ETS 1,2050,PJMW,0.0
ETS 1,2050,RMRG,0.0
ETS 1,2050,SPPC,0.0
ETS 1,2050,SPPN,0.0
ETS 1,2050,SPPS,0.0
ETS 1,2050,SRCA,64130671.70963939
ETS 1,2050,SRCE,0.0
ETS 1,2050,SRSE,0.0
ETS 1,2050,SRSG,0.0
ETS 1,2050,TRE,0.0
ETS 1,2050,TRE_WEST,0.0
