BASELOAD_GEN_PERIODS_1,BASELOAD_GEN_PERIODS_2,DispatchBaseloadByPeriod
BASN_small_hydroelectric_1,2030,176.87680000397188
BASN_small_hydroelectric_1,2040,166.90080000365393
BASN_small_hydroelectric_1,2050,143.2832000040095
CANO_small_hydroelectric_1,2030,223.02580000158008
CANO_small_hydroelectric_1,2040,213.71200000372875
CANO_small_hydroelectric_1,2050,195.12050000303023
CASO_small_hydroelectric_1,2030,72.8856000016959
CASO_small_hydroelectric_1,2040,72.88560000377393
CASO_small_hydroelectric_1,2050,71.61360000299666
ISNE_small_hydroelectric_1,2030,254.85390000412983
ISNE_small_hydroelectric_1,2040,229.23180000370033
ISNE_small_hydroelectric_1,2050,202.2867000032434
MISC_small_hydroelectric_1,2030,15.540000004055425
MISC_small_hydroelectric_1,2040,13.986000003660452
MISC_small_hydroelectric_1,2050,13.986000002840505
MISE_small_hydroelectric_1,2030,12.101400001703373
MISE_small_hydroelectric_1,2040,11.429100003808074
MISE_small_hydroelectric_1,2050,9.636300003161008
MISS_small_hydroelectric_1,2030,2.63340000164222
MISS_small_hydroelectric_1,2040,2.63340000361704
MISS_small_hydroelectric_1,2050,2.6334000027478437
MISW_small_hydroelectric_1,2030,397.8000000014886
MISW_small_hydroelectric_1,2040,342.10000000429187
MISW_small_hydroelectric_1,2050,259.40000000398055
NWPP_small_hydroelectric_1,2030,420.73780000382226
NWPP_small_hydroelectric_1,2040,410.14260000355205
NWPP_small_hydroelectric_1,2050,404.42360000293974
NYUP_small_hydroelectric_1,2030,398.7416000041257
NYUP_small_hydroelectric_1,2040,354.9254000038115
NYUP_small_hydroelectric_1,2050,343.8650000031147
PJMC_small_hydroelectric_1,2030,9.28400000166138
PJMC_small_hydroelectric_1,2040,9.284000003748549
PJMC_small_hydroelectric_1,2050,9.284000002938486
PJMD_small_hydroelectric_1,2030,4.5537000017739055
PJMD_small_hydroelectric_1,2040,3.847700003802663
PJMD_small_hydroelectric_1,2050,3.8477000031094737
PJME_small_hydroelectric_1,2030,52.7625000017939
PJME_small_hydroelectric_1,2040,52.76250000392424
PJME_small_hydroelectric_1,2050,52.76250000331542
PJMW_small_hydroelectric_1,2030,198.0066000045823
PJMW_small_hydroelectric_1,2040,153.36420000380627
PJMW_small_hydroelectric_1,2050,153.36420000310594
RMRG_small_hydroelectric_1,2030,100.69920000453303
RMRG_small_hydroelectric_1,2040,99.01440000911231
RMRG_small_hydroelectric_1,2050,85.36320000719691
SPPC_small_hydroelectric_1,2030,20.60000000393285
SPPC_small_hydroelectric_1,2040,4.600000003440073
SPPC_small_hydroelectric_1,2050,4.600000002642627
SPPN_small_hydroelectric_1,2030,62.06100000391932
SPPN_small_hydroelectric_1,2040,43.56600000343379
SPPN_small_hydroelectric_1,2050,0.06850000387553158
SPPS_small_hydroelectric_1,2030,39.82770000716966
SPPS_small_hydroelectric_1,2040,39.82770000335603
SPPS_small_hydroelectric_1,2050,39.82770000247308
SRCA_small_hydroelectric_1,2030,30.7500000019763
SRCA_small_hydroelectric_1,2040,29.310000004321402
SRCA_small_hydroelectric_1,2050,21.84000000428751
SRCE_small_hydroelectric_1,2030,45.4080000041604
SRCE_small_hydroelectric_1,2040,40.69120000372302
SRCE_small_hydroelectric_1,2050,30.624000002970348
SRSE_small_hydroelectric_1,2030,7.917000001734281
SRSE_small_hydroelectric_1,2040,3.509000003753247
SRSE_small_hydroelectric_1,2050,1.7980000029131533
SRSG_small_hydroelectric_1,2030,67.11600000393838
SRSG_small_hydroelectric_1,2040,62.22800000849981
SRSG_small_hydroelectric_1,2050,46.96240000865968
TRE_small_hydroelectric_1,2030,19.647400001604186
TRE_small_hydroelectric_1,2040,10.151800003373777
TRE_small_hydroelectric_1,2050,3.5898000023933525
