GroupExposure_index_1,GroupExposure_index_2,GroupExposure
Asian,2030,0.018767600252644585
Asian,2040,0.010281009838301243
Asian,2050,0.005910143682884375
Black,2030,0.023868202876130347
Black,2040,0.010407076445889053
Black,2050,0.006219828906622524
Latino,2030,0.020935626416679114
Latino,2040,0.010407076338309784
Latino,2050,0.006219828906402543
Native,2030,0.016421661500057076
Native,2040,0.008661315987924016
Native,2050,0.005728590722624821
WhiteNoLat,2030,0.018410366053073925
WhiteNoLat,2040,0.009304539909531681
WhiteNoLat,2050,0.005778630586080664
