PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2030,EmissionsCost,annual,80.14759886299127,13.020610946685174
2030,FuelCostsPerTP,timepoint,178863152224.7205,29057732868.54139
2030,GenVariableOMCostsInTP,timepoint,25667814686.335217,4169939382.135463
2030,NodeSpillageCosts,timepoint,61.1983260205246,9.942151792517356
2030,StorageEnergyFixedCost,annual,20365907946.77503,3308602724.3844066
2030,TotalGenAmortizationAdjustment,annual,1168290078.4656591,189797957.77260426
2030,TotalGenFixedCosts,annual,960187074717.287,155989979903.22217
2030,TxFixedCosts,annual,102133709164.20381,16592428350.12811
2030,UnservedLoadPenalty,timepoint,68.29764043890158,11.09549153495801
2040,EmissionsCost,annual,11494033473.184587,2309198464.578117
2040,FuelCostsPerTP,timepoint,196230877224.25055,39423588024.710045
2040,GenVariableOMCostsInTP,timepoint,17059995781.436438,3427423119.665515
2040,NodeSpillageCosts,timepoint,58.76920016223681,11.806973339318187
2040,StorageEnergyFixedCost,annual,80531516984.1261,16179112041.368252
2040,TotalGenAmortizationAdjustment,annual,3336087344.1884127,670233629.5497104
2040,TotalGenFixedCosts,annual,1093202625570.1649,219628890965.80673
2040,TxFixedCosts,annual,111395595708.06027,22379832038.069305
2040,UnservedLoadPenalty,timepoint,102204095.71814147,20533221.993526813
2050,EmissionsCost,annual,39193494883.9618,12826134341.92788
2050,FuelCostsPerTP,timepoint,137595270097.037,45028273806.749
2050,GenVariableOMCostsInTP,timepoint,9584414485.99968,3136515081.1405587
2050,NodeSpillageCosts,timepoint,58.482852096610344,19.138607565133764
2050,StorageEnergyFixedCost,annual,81194671789.34924,26571087148.573917
2050,TotalGenAmortizationAdjustment,annual,2900546477.100711,949208507.4434878
2050,TotalGenFixedCosts,annual,815693621714.2009,266937051797.36932
2050,TxFixedCosts,annual,75464931486.1527,24696020403.678192
2050,UnservedLoadPenalty,timepoint,291725310.86390734,95467577.9528984
