TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
25-26,2030,2.1775275747605747e-07
25-26,2040,1.7041634612516335e-08
25-26,2050,1.422821099360851e-06
25-20,2030,3.7620870885039335e-06
25-20,2040,1153.5887532970717
25-20,2050,5040.006837637931
26-20,2030,9.476067622264324e-06
26-20,2040,3306.5857985890707
26-20,2050,2.4390779113454777e-06
4-23,2030,1.772136512433879e-06
4-23,2040,1.499487920733281e-06
4-23,2050,3.12678286170406e-05
9-7,2030,3.6644018098302815e-05
9-7,2040,0.000143085974656127
9-7,2050,9.371738588581378e-06
9-13,2030,9.423424287545534e-07
9-13,2040,1.1166853376829547e-06
9-13,2050,1.8872159937422523e-05
9-6,2030,3.8025794791246043e-07
9-6,2040,1.728287090669492e-09
9-6,2050,1.8314196674932381e-06
9-19,2030,4.723682358686493e-07
9-19,2040,3.1731195123416264e-06
9-19,2050,5.304129009422106e-07
9-18,2030,4.378279937607128e-05
9-18,2040,9.595426295045962e-05
9-18,2050,0.00013729845281246013
7-6,2030,6.0571274190994e-05
7-6,2040,176.63354951020145
7-6,2050,871.6173385748149
7-16,2030,1.0323859853282686e-06
7-16,2040,2.440130580292212e-07
7-16,2050,3.4318111480790935e-06
13-6,2030,1.194467467486659e-06
13-6,2040,1.0720761530518948e-06
13-6,2050,2.842116397009494e-06
13-16,2030,2.089631740431217e-06
13-16,2040,1.8087695521110156e-05
13-16,2050,3360.0243391813624
6-19,2030,6.882604322484693e-05
6-19,2040,0.0029099109146423115
6-19,2050,8.177356021985245e-07
6-18,2030,2.3827298286835186e-06
6-18,2040,371.7983162372364
6-18,2050,3004.031233359585
6-20,2030,7.939405452439201e-07
6-20,2040,7.97841553302076e-07
6-20,2050,2058.1685637981004
6-8,2030,2.359300047462145e-07
6-8,2040,3.5141569552268297e-07
6-8,2050,6.613354341446853e-08
6-16,2030,2.143256344777655e-06
6-16,2040,9.986665485549809e-06
6-16,2050,4.039924416033481e-06
6-22,2030,1.6385946082100625e-06
6-22,2040,1.0745978862617544e-06
6-22,2050,2.20692631564784e-06
19-18,2030,7.888817229184547e-07
19-18,2040,434.3654732371748
19-18,2050,3.822743293155455e-06
19-20,2030,0.0001844830413453657
19-20,2040,2442.7653993320628
19-20,2050,2857.102513435021
18-20,2030,1.6497442651057294e-06
18-20,2040,1.7498744154399748e-06
18-20,2050,329.30782392779906
18-8,2030,7.595514046012757e-05
18-8,2040,0.00014461778051969224
18-8,2050,0.000547343001559683
20-8,2030,3.4202255363033794e-06
20-8,2040,187.96681633876204
20-8,2050,13416.934529303859
20-24,2030,1.280162763782907e-06
20-24,2040,4525.607879297149
20-24,2050,716.6798287881705
8-23,2030,4.542854018033622e-07
8-23,2040,1.2174799930004632e-05
8-23,2050,4830.8740934983525
8-22,2030,1.011335537346978e-06
8-22,2040,1.1801838723430868e-06
8-22,2050,1.3957826977022177e-06
23-21,2030,4.812323440263478e-07
23-21,2040,2.1090209336373287e-07
23-21,2050,1.1155086351049043e-05
23-22,2030,4.2535604313464487e-07
23-22,2040,4.0509487155604867e-07
23-22,2050,1.5826928572130753e-06
21-14,2030,5.615225221440104e-07
21-14,2040,1.3940740191923027e-06
21-14,2050,1457.637439050945
21-16,2030,4.715462620324884e-07
21-16,2040,2.9680301034542805e-07
21-16,2050,1.0847257686094007e-06
21-22,2030,3.7585676965820655e-08
21-22,2040,6.373565163498428e-07
21-22,2050,1.1039820554635207e-05
14-16,2030,1.0658538759833543e-06
14-16,2040,9.370466046759148e-08
14-16,2050,1.5628766968688198e-06
14-15,2030,9.84688652961645e-07
14-15,2040,5399.910888666035
14-15,2050,1051.773532558787
16-15,2030,6.630228548121887e-07
16-15,2040,1.3411520894367955e-06
16-15,2050,5259.8702093988495
16-22,2030,9.901130144242204e-07
16-22,2040,4.753657178221642e-06
16-22,2050,1.360193187629509e-06
15-12,2030,2225.295625553253
15-12,2040,3.133510237897608e-07
15-12,2050,399.71298582415267
15-11,2030,478.53030864304066
15-11,2040,1962.3696297040744
15-11,2050,418.31104144878265
12-11,2030,5386.997618867719
12-11,2040,3487.2398809350952
12-11,2050,912.397360033633
12-5,2030,5458.40781116562
12-5,2040,11.992939778626415
12-5,2050,833.8674519506317
11-5,2030,2.3237939621232625e-07
11-5,2040,4.3506769491930205e-07
11-5,2050,2.0853536367844193e-06
17-1,2030,4.919972920658686e-07
17-1,2040,7.823826285131284e-07
17-1,2050,1.8449209386975658e-06
17-10,2030,3.252005004078359e-07
17-10,2040,587.7925144665834
17-10,2050,4.2102371071773475e-06
17-24,2030,5.232512426669639e-07
17-24,2040,785.7472699420432
17-24,2050,172.84967711231477
1-10,2030,7.779825351235089e-09
1-10,2040,2.6415652584883664e-05
1-10,2050,8.291448462673295e-06
1-2,2030,2.7410908539468118e-08
1-2,2040,3.5753073755401643e-07
1-2,2050,8.855985920796162e-07
1-3,2030,2.5081768879965654e-07
1-3,2040,2.393001584036445e-07
1-3,2050,1.0359641461809386e-06
1-24,2030,6.233303819421047e-07
1-24,2040,1.970773613991193e-06
1-24,2050,1.1024028914149604e-06
10-2,2030,2.921894975508802e-07
10-2,2040,8.789703439193087e-07
10-2,2050,1.7598623879104807e-06
10-3,2030,1.7707245309166682e-07
10-3,2040,3.964529978097273e-07
10-3,2050,4.652456256251422e-07
2-3,2030,8.73707652952765e-07
2-3,2040,4.1822128468407937e-07
2-3,2050,2.168930953277492e-06
3-24,2030,1.050579330474249e-06
3-24,2040,1.3001772161881487e-06
3-24,2050,6.472600614825058e-06
10-19,2030,3.070461176466085e-05
10-19,2040,0.00012152556222156492
10-19,2050,0.00013968629039635977
10-9,2030,2.3342015123987494e-07
10-9,2040,1.9858352436143843e-07
10-9,2050,4.690556503329358e-07
17-19,2030,1.6181823419374317e-06
17-19,2040,2370.1262143786253
17-19,2050,1468.098008358957
17-18,2030,5.438684001361853e-08
17-18,2040,1651.9114411904982
17-18,2050,1629.0814626884676
24-25,2030,5.107951665873018e-05
24-25,2040,1924.4593973979843
24-25,2050,2884.351390778483
