BASELOAD_GEN_PERIODS_1,BASELOAD_GEN_PERIODS_2,DispatchBaseloadByPeriod
BASN_small_hydroelectric_1,2030,176.87679998368478
BASN_small_hydroelectric_1,2040,166.9007999969016
BASN_small_hydroelectric_1,2050,143.28319999340644
CANO_small_hydroelectric_1,2030,223.02579999780514
CANO_small_hydroelectric_1,2040,213.7119999874824
CANO_small_hydroelectric_1,2050,195.12049993719475
CASO_small_hydroelectric_1,2030,72.88559999571304
CASO_small_hydroelectric_1,2040,72.88559999715308
CASO_small_hydroelectric_1,2050,71.61359999570833
ISNE_small_hydroelectric_1,2030,254.85389999834985
ISNE_small_hydroelectric_1,2040,229.2317999971345
ISNE_small_hydroelectric_1,2050,202.28669999548816
MISC_small_hydroelectric_1,2030,15.53999999732492
MISC_small_hydroelectric_1,2040,13.98599999666846
MISC_small_hydroelectric_1,2050,13.985999995221682
MISE_small_hydroelectric_1,2030,12.101399997745007
MISE_small_hydroelectric_1,2040,11.429099997281783
MISE_small_hydroelectric_1,2050,9.636299995703501
MISS_small_hydroelectric_1,2030,2.6333999978918463
MISS_small_hydroelectric_1,2040,2.6333999972855735
MISS_small_hydroelectric_1,2050,2.633399996283693
MISW_small_hydroelectric_1,2030,397.7999999966553
MISW_small_hydroelectric_1,2040,342.0999999981457
MISW_small_hydroelectric_1,2050,259.3999999956429
NWPP_small_hydroelectric_1,2030,420.7377985760902
NWPP_small_hydroelectric_1,2040,410.1425999769215
NWPP_small_hydroelectric_1,2050,404.42359998616246
NYUP_small_hydroelectric_1,2030,398.74159999831875
NYUP_small_hydroelectric_1,2040,354.9253998825594
NYUP_small_hydroelectric_1,2050,343.86499914322144
PJMC_small_hydroelectric_1,2030,9.283999998126847
PJMC_small_hydroelectric_1,2040,9.28399999698957
PJMC_small_hydroelectric_1,2050,9.283999995817714
PJMD_small_hydroelectric_1,2030,4.553699998449437
PJMD_small_hydroelectric_1,2040,3.8476999975257664
PJMD_small_hydroelectric_1,2050,3.84769999610708
PJME_small_hydroelectric_1,2030,52.76249999796037
PJME_small_hydroelectric_1,2040,52.76249999709082
PJME_small_hydroelectric_1,2050,52.76249999529415
PJMW_small_hydroelectric_1,2030,198.00659999724968
PJMW_small_hydroelectric_1,2040,153.3641999967097
PJMW_small_hydroelectric_1,2050,153.36419999492435
RMRG_small_hydroelectric_1,2030,100.69919996368101
RMRG_small_hydroelectric_1,2040,99.01439999300231
RMRG_small_hydroelectric_1,2050,85.36319999317129
SPPC_small_hydroelectric_1,2030,20.59999999702433
SPPC_small_hydroelectric_1,2040,4.599999996313441
SPPC_small_hydroelectric_1,2050,4.599999995238575
SPPN_small_hydroelectric_1,2030,62.06099999665884
SPPN_small_hydroelectric_1,2040,43.565999995298704
SPPN_small_hydroelectric_1,2050,0.06849999472006392
SPPS_small_hydroelectric_1,2030,39.827699996944965
SPPS_small_hydroelectric_1,2040,39.82769999564333
SPPS_small_hydroelectric_1,2050,39.827699993700314
SRCA_small_hydroelectric_1,2030,30.749999997383913
SRCA_small_hydroelectric_1,2040,29.30999999685411
SRCA_small_hydroelectric_1,2050,21.839999995627192
SRCE_small_hydroelectric_1,2030,45.4079999993737
SRCE_small_hydroelectric_1,2040,40.691199996826896
SRCE_small_hydroelectric_1,2050,30.623999995217964
SRSE_small_hydroelectric_1,2030,7.9169999978475465
SRSE_small_hydroelectric_1,2040,3.508999997734223
SRSE_small_hydroelectric_1,2050,1.7979999967056088
SRSG_small_hydroelectric_1,2030,67.11599999757176
SRSG_small_hydroelectric_1,2040,62.22799999654746
SRSG_small_hydroelectric_1,2050,46.96239999497391
TRE_small_hydroelectric_1,2030,19.6473997992819
TRE_small_hydroelectric_1,2040,10.151799579897625
TRE_small_hydroelectric_1,2050,3.5897992521638398
