PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2030,EmissionsCost,annual,4.179472948962854,0.6789884164049336
2030,FuelCostsPerTP,timepoint,335514097372.0219,54506917125.20629
2030,GenVariableOMCostsInTP,timepoint,17663262600.80946,2869536625.388192
2030,NodeSpillageCosts,timepoint,60.70503910986986,9.862013434789294
2030,StorageEnergyFixedCost,annual,393834751.95793426,63981568.44716649
2030,TotalGenAmortizationAdjustment,annual,41.56298280878577,6.752235083949037
2030,TotalGenFixedCosts,annual,467879475150.47406,76010719002.17133
2030,TxFixedCosts,annual,54044760422.47872,8779998517.121399
2030,UnservedLoadPenalty,timepoint,329820406.0135644,53581931.95932866
2040,EmissionsCost,annual,2.979093668725352,0.5985121360316482
2040,FuelCostsPerTP,timepoint,234511043158.52512,47114230357.13844
2040,GenVariableOMCostsInTP,timepoint,-117462630625.67131,-23598724235.397102
2040,NodeSpillageCosts,timepoint,58.89235650570482,11.831715953814905
2040,StorageEnergyFixedCost,annual,14431522530.208174,2899352063.4882903
2040,TotalGenAmortizationAdjustment,annual,386256884.7827188,77600592.285891
2040,TotalGenFixedCosts,annual,685900070935.2954,137800137293.22897
2040,TxFixedCosts,annual,51332491692.88962,10312908108.083601
2040,UnservedLoadPenalty,timepoint,662292491.2097979,133057277.70597388
2050,EmissionsCost,annual,18.99668609739592,6.216696129243077
2050,FuelCostsPerTP,timepoint,148718141831.88837,48668251501.04784
2050,GenVariableOMCostsInTP,timepoint,-124154648451.48341,-40629808720.25228
2050,NodeSpillageCosts,timepoint,62.14005366426955,20.335432669942193
2050,StorageEnergyFixedCost,annual,25898136362.72371,8475206846.883889
2050,TotalGenAmortizationAdjustment,annual,2905119603.0874114,950705070.2899917
2050,TotalGenFixedCosts,annual,555703820733.5243,181854970580.01367
2050,TxFixedCosts,annual,39215873334.40287,12833457725.886648
2050,UnservedLoadPenalty,timepoint,587541268.8982538,192273826.7824006
