gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Batteries,Electricity,2030,-2845.27310165187,2351796.048084031,0.0,22102.199999999997,0.0,137807217.0,8.939487747817411,0.08120079240574604,18523.913422212077,15678.640320560206
Batteries,Electricity,2040,-94.89931701726107,78440.21672295239,0.0,495.0,0.0,3086325.0,6.051931041765423,0.12092878837667333,617.834095170277,522.9347781530159
Battery_*_Moderate,Electricity,2030,-276.4363230081393,228491.89824578734,0.0,2025.1276275754542,26759667.05502617,12681349.203877494,26.042175977598912,0.08610225441723372,1799.7156446467216,1523.2793216385821
Battery_*_Moderate,Electricity,2040,-20787.38068313257,17182069.34499192,0.0,111607.20500509445,1433126538.2528253,687723597.241392,18.665087672886013,0.11748416941700335,135334.50964974536,114547.1289666128
Battery_*_Moderate,Electricity,2050,-49412.25126622581,40842313.93612948,0.0,234200.14909975193,4879922448.104555,1249691995.5962763,22.661999883086395,0.1330819903835997,321694.3441737557,272282.09290752985
Biomass,Waste_biomass,2030,24183.507244879373,145245862.012748,0.0,12180.1,0.0,1837368085.0,81.98206847902708,0.22727716629550648,0.0,0.0
Biomass,Waste_biomass,2040,12645.473759696648,71616064.45820251,0.0,7686.6,0.0,1159523610.0,97.35812970345656,0.1883164236389688,0.0,0.0
Biomass,Waste_biomass,2050,7463.597824420043,42261273.12165373,0.0,4716.0,0.0,711408600.0,100.97943255406012,0.18115978961273316,0.0,0.0
Conventional Hydroelectric,Water,2030,255953.4546526188,0.0,0.0,67897.29999999999,0.0,3194432170.399999,12.480519845827036,0.43151496909256004,0.0,0.0
Conventional Hydroelectric,Water,2040,230283.66799043017,0.0,0.0,64131.99999999999,0.0,3017282335.9999995,13.102459077234204,0.4110320897615783,0.0,0.0
Conventional Hydroelectric,Water,2050,200678.16044323417,0.0,0.0,57582.49999999999,0.0,2709141459.9999995,13.499931701667824,0.39893025050384434,0.0,0.0
Conventional Steam Coal,Coal,2030,1212426.4366551037,2278149274.47494,1255109235.5041437,184563.6,0.0,12159790793.0546,11.908301923341076,0.7519634286280792,0.0,0.0
Conventional Steam Coal,Coal,2040,619834.7327643159,1164669462.8641496,655855102.3911579,111111.29999999999,0.0,7279141689.9001,13.622681509161088,0.6385649166006816,0.0,0.0
Conventional Steam Coal,Coal,2050,210782.90087354716,396061070.7413951,220577970.8969022,39531.5,0.0,2593219398.4063,14.181797749054718,0.6103507155672859,0.0,0.0
Geothermal,Heat,2030,5637.256124768517,0.0,0.0,1275.3999999999999,0.0,266687415.39999998,47.30801820911604,0.5059513151343921,0.0,0.0
Geothermal,Heat,2040,3134.978002239009,0.0,0.0,795.2,0.0,166277115.2,53.03932438481051,0.4512793914124353,0.0,0.0
Geothermal,Heat,2050,898.4082665442032,0.0,0.0,243.70000000000002,0.0,50957913.7,56.72021907814089,0.42199332827556774,0.0,0.0
Hydroelectric Pumped Storage,Electricity,2030,-4430.236835343802,0.0,0.0,22807.100000000002,0.0,1073028440.8,80.75416728589146,0.06669044232064096,17717.829003822128,13287.592168478328
Hydroelectric Pumped Storage,Electricity,2040,-13373.983357208584,0.0,0.0,22807.100000000002,0.0,1073028440.8,26.750451004063116,0.20132487241852962,53486.51980143594,40112.53644422736
Hydroelectric Pumped Storage,Electricity,2050,-15018.99594380328,0.0,0.0,22807.100000000002,0.0,1073028440.8,23.820506235271054,0.2260880219059649,60065.41226266242,45046.41631885914
Hydrogen_CCAvgCF_Moderate,Hydrogen,2030,0.00010047847356992525,0.20095694713985052,0.0,0.00011451783806134504,7.568658144382316,3.2064994657176613,109.23846837304212,0.10043550391645478,0.0,0.0
Hydrogen_CCAvgCF_Moderate,Hydrogen,2040,0.0001358551106070413,0.27171022121408256,0.0,0.00018020318472370883,11.975628275544185,5.045689172263848,127.29022553330306,0.08629803223135808,0.0,0.0
Hydrogen_CCAvgCF_Moderate,Hydrogen,2050,0.0002507147774851559,0.5014295549703118,0.0,0.00046884309963848516,29.32455120859072,13.127606789877584,171.32451459101478,0.06121245232449627,0.0,0.0
Hydrogen_CTAvgCF_Moderate,Hydrogen,2030,6.421659447825153e-05,0.32108297239125766,0.0,0.0001262068245580466,6.7144622690738975,2.6503433157189784,150.83155118829123,0.058244082090839186,0.0,0.0
Hydrogen_CTAvgCF_Moderate,Hydrogen,2040,8.737106176919414e-05,0.4368553088459707,0.0,0.0002170089480978733,11.58881292339283,4.557187910055339,189.7980384638182,0.046086884047048575,0.0,0.0
Hydrogen_CTAvgCF_Moderate,Hydrogen,2050,0.00016582111138140358,0.8291055569070179,0.0,0.0007252679228024177,35.930115015472126,15.230626378850774,313.529721988466,0.026171506732919982,0.0,0.0
LandbasedWind_Class3_Moderate,Wind,2030,182930.48206089193,-2392730705.3564663,0.0,45063.34597247843,4362339228.523468,1819072086.871037,20.711040431068795,0.4646757604515406,0.0,0.0
LandbasedWind_Class3_Moderate,Wind,2040,966410.937933535,-12640655068.170639,0.0,251446.47730563628,21039892374.441128,9526037360.229605,18.548294481051187,0.43995033798416366,0.0,0.0
LandbasedWind_Class3_Moderate,Wind,2050,1596979.0352759855,-20888485781.40989,0.0,430737.5602040322,34672080358.283134,15697595015.693586,18.46059900684418,0.42439850534983237,0.0,0.0
