generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
BASN_batteries_1,BASN_batteries_1,Batteries,BASN,Electricity,2030,-99.41804529717342,82175.2280659461,0.0,935.8,0.0,5834713.0,10.800496148275261,0.06701221802506811,647.2528990701475,547.834853772974
BASN_battery_moderate_0,BASN_battery_moderate_0,Battery_*_Moderate,BASN,Electricity,2030,-2.6531149219438703e-05,0.021929653029218097,0.0,7.228804767138263e-05,0.9563459224261026,0.452667754518198,9.787728935339242,0.23150553572953037,0.0001727288360808927,0.00014619768686145398
BASN_battery_moderate_0,BASN_battery_moderate_0,Battery_*_Moderate,BASN,Electricity,2040,-1767.3461432761242,1460822.046512534,0.0,6025.19593527999,78418592.49923159,37127257.3531953,12.014468721047143,0.1850215247786813,11506.159786693017,9738.813643416892
BASN_battery_moderate_0,BASN_battery_moderate_0,Battery_*_Moderate,BASN,Electricity,2050,-4072.608592465695,3366265.5390607803,0.0,15698.796418600474,332843917.26829374,83768777.68965213,18.71416361649465,0.1636357265793965,26514.378852870897,22441.770260405203
BASN_biomass_1,BASN_biomass_1,Biomass,BASN,Waste_biomass,2030,159.96580312762282,734083.0705526612,0.0,29.0,0.0,4374650.0,31.93640747377017,0.6314173737196177,,
BASN_biomass_1,BASN_biomass_1,Biomass,BASN,Waste_biomass,2040,98.55840728055435,452284.5310104639,0.0,22.8,0.0,3439380.0,39.48587074801778,0.4948188142660053,,
BASN_biomass_1,BASN_biomass_1,Biomass,BASN,Waste_biomass,2050,65.50683037800079,300610.8446046456,0.0,15.3,0.0,2308005.0,39.822043435041536,0.49009754825648794,,
BASN_biomass_2,BASN_biomass_2,Biomass,BASN,Waste_biomass,2030,70.54704381392871,535804.7977667885,0.0,15.600000000000001,0.0,2353260.0,40.9523155270239,0.5176564100651058,,
BASN_biomass_2,BASN_biomass_2,Biomass,BASN,Waste_biomass,2040,62.745346169217115,476550.904155204,0.0,15.600000000000001,0.0,2353260.0,45.099932934046194,0.4604095209420575,,
BASN_biomass_2,BASN_biomass_2,Biomass,BASN,Waste_biomass,2050,39.19209876605178,297663.99012816325,0.0,10.2,0.0,1538670.0,46.8546989812854,0.43983088646093443,,
BASN_conventional_hydroelectric_1,BASN_conventional_hydroelectric_1,Conventional Hydroelectric,BASN,Water,2030,9447.535253043428,0.0,0.0,2566.2999999999993,0.0,120739282.39999998,12.779976911026083,0.4214038235769192,,
BASN_conventional_hydroelectric_1,BASN_conventional_hydroelectric_1,Conventional Hydroelectric,BASN,Water,2040,5869.44201417484,0.0,0.0,1773.8,0.0,83453742.39999999,14.218343447035895,0.37877345948158675,,
BASN_conventional_hydroelectric_1,BASN_conventional_hydroelectric_1,Conventional Hydroelectric,BASN,Water,2050,4776.040474638075,0.0,0.0,1549.7,0.0,72910285.6,15.265843325066271,0.35278307400732845,,
BASN_conventional_steam_coal_1,BASN_conventional_steam_coal_1,Conventional Steam Coal,BASN,Coal,2030,9118.119241264369,17132946.05433575,10739841.669332234,1183.2,0.0,88801526.4,11.618017888483578,0.8821338367471571,,
BASN_conventional_steam_coal_1,BASN_conventional_steam_coal_1,Conventional Steam Coal,BASN,Coal,2040,4749.288661178158,8923913.394353759,5593983.464503961,733.2,0.0,55028126.4,13.465603873926069,0.7414698309873394,,
BASN_conventional_steam_coal_1,BASN_conventional_steam_coal_1,Conventional Steam Coal,BASN,Coal,2050,4770.379763160343,8963543.574978286,5618825.769142324,733.2,0.0,55028126.4,13.414376454713167,0.7447626221688695,,
BASN_conventional_steam_coal_2,BASN_conventional_steam_coal_2,Conventional Steam Coal,BASN,Coal,2030,24037.423982412227,45166319.66295257,24028212.841542162,2949.2,0.0,193374080.49639997,9.923708977047145,0.9329772914767996,,
BASN_conventional_steam_coal_2,BASN_conventional_steam_coal_2,Conventional Steam Coal,BASN,Coal,2040,13514.630503747014,25393990.716540635,13509451.697337978,2040.2,0.0,133772480.3434,11.777345375133324,0.7582611545339666,,
BASN_conventional_steam_coal_2,BASN_conventional_steam_coal_2,Conventional Steam Coal,BASN,Coal,2050,4508.939238697389,8472296.829512393,4507211.413181119,677.2,0.0,44402864.27239999,11.726740659558716,0.7621576411884173,,
BASN_distributed_generation_1,BASN_distributed_generation_1,distributed_generation,BASN,Solar,2030,3852.912426357433,0.0,0.0,1642.0,0.0,0.0,0.0,0.26859836196291886,,
BASN_distributed_generation_1,BASN_distributed_generation_1,distributed_generation,BASN,Solar,2040,3145.72935929657,0.0,0.0,1642.0,0.0,0.0,0.0,0.21929845778626486,,
BASN_distributed_generation_1,BASN_distributed_generation_1,distributed_generation,BASN,Solar,2050,2663.8547657426925,0.0,0.0,1642.0,0.0,0.0,0.0,0.1857054994790128,,
BASN_geothermal_1,BASN_geothermal_1,Geothermal,BASN,Heat,2030,3777.483804587027,0.0,0.0,836.4999999999999,0.0,174912986.5,46.3040996463312,0.5169208388052636,,
BASN_geothermal_1,BASN_geothermal_1,Geothermal,BASN,Heat,2040,2299.5086159412103,0.0,0.0,578.8000000000001,0.0,121027658.8,52.63196578650881,0.45477218400684255,,
BASN_geothermal_1,BASN_geothermal_1,Geothermal,BASN,Heat,2050,529.4974441415868,0.0,0.0,140.8,0.0,29441420.8,55.602573960918704,0.430475647514584,,
BASN_hydrogen_ccavgcf_moderate_0,BASN_hydrogen_ccavgcf_moderate_0,Hydrogen_CCAvgCF_Moderate,BASN,Hydrogen,2030,4.158371673086153e-06,0.008316743346172308,0.0,4.716085480556067e-06,0.27430160272203824,0.13205039345556988,99.71901795301339,0.10093203047743296,,
BASN_hydrogen_ccavgcf_moderate_0,BASN_hydrogen_ccavgcf_moderate_0,Hydrogen_CCAvgCF_Moderate,BASN,Hydrogen,2040,5.439819607674819e-06,0.010879639215349637,0.0,7.0816674045913775e-06,0.4062399112551221,0.1982866873285586,113.12989808168986,0.08792985293298032,,
BASN_hydrogen_ccavgcf_moderate_0,BASN_hydrogen_ccavgcf_moderate_0,Hydrogen_CCAvgCF_Moderate,BASN,Hydrogen,2050,1.0388000002603948e-05,0.020776000005207896,0.0,1.9482667152665453e-05,1.0694758896251835,0.5455146802746326,157.4669396895445,0.06103386949450359,,
