TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
25-26,2030,TRE,TRE_WEST,1,694.9819646586291,0.943376254132344,0.95,16529.00000021775,15702.550000206862,697961256.0564454
25-26,2040,TRE,TRE_WEST,1,694.9819646586291,0.943376254132344,0.95,16529.000000234795,15702.550000223055,697961256.057165
25-26,2050,TRE,TRE_WEST,1,694.9819646586291,0.943376254132344,0.95,16529.000001657616,15702.550001574735,697961256.1172458
25-20,2030,TRE,SPPS,2,501.3042951289656,0.9578052407961624,0.95,600.0000037620871,570.0000035739827,19787937.727537658
25-20,2040,TRE,SPPS,2,501.3042951289656,0.9578052407961624,0.95,1753.5887570591588,1665.9093192062007,57833174.84470559
25-20,2050,TRE,SPPS,2,501.3042951289656,0.9578052407961624,0.95,6793.59559469709,6453.915814962235,224052076.21839458
26-20,2030,TRE_WEST,SPPS,3,594.5912331781975,0.9661112536396236,0.95,220.00000947606762,209.00000900226422,6479493.333363664
26-20,2040,TRE_WEST,SPPS,3,594.5912331781975,0.9661112536396236,0.95,3526.5858080651383,3350.2565176618814,103865855.67569593
26-20,2050,TRE_WEST,SPPS,3,594.5912331781975,0.9661112536396236,0.95,3526.585810504216,3350.256519979005,103865855.74753223
4-23,2030,FRCC,SRSE,4,930.705776696937,0.922862516082419,0.95,3600.0000017721363,3420.0000016835293,247763086.72849238
4-23,2040,FRCC,SRSE,4,930.705776696937,0.922862516082419,0.95,3600.0000032716243,3420.000003108043,247763086.83169177
4-23,2050,FRCC,SRSE,4,930.705776696937,0.922862516082419,0.95,3600.000034539453,3420.00003281248,247763088.98364002
9-7,2030,MISW,MISE,5,1338.0895372438338,0.9095498714554684,0.95,3.6644018098302815e-05,3.4811817193387675e-05,3.30824661972328
9-7,2040,MISW,MISE,5,1338.0895372438338,0.9095498714554684,0.95,0.00017972999275442982,0.00017074349311670833,16.22614472565908
9-7,2050,MISW,MISE,5,1338.0895372438338,0.9095498714554684,0.95,0.0001891017313430112,0.00017964664477586063,17.07223159373757
9-13,2030,MISW,PJMC,6,577.3769837220765,0.9443337093609498,0.95,3200.0000009423425,3040.000000895225,140574700.2421505
9-13,2040,MISW,PJMC,6,577.3769837220765,0.9443337093609498,0.95,3200.000002059028,3040.000001956076,140574700.291206
9-13,2050,MISW,PJMC,6,577.3769837220765,0.9443337093609498,0.95,3200.000020931188,3040.0000198846283,140574701.12025234
9-6,2030,MISW,MISC,7,1370.4981771620598,0.8979094653249757,0.95,1655.000000380258,1572.250000361245,145174827.18999317
9-6,2040,MISW,MISC,7,1370.4981771620598,0.8979094653249757,0.95,1655.0000003819862,1572.2500003628868,145174827.19014478
9-6,2050,MISW,MISC,7,1370.4981771620598,0.8979094653249757,0.95,1655.0000022134059,1572.2500021027356,145174827.35079494
9-19,2030,MISW,SPPN,8,1014.1486283848258,0.9329095304287599,0.95,5512.000000472368,5236.400000448749,355981407.1020985
9-19,2040,MISW,SPPN,8,1014.1486283848258,0.9329095304287599,0.95,5512.000003645488,5236.400003463213,355981407.30702806
9-19,2050,MISW,SPPN,8,1014.1486283848258,0.9329095304287599,0.95,5512.0000041759,5236.4000039671055,355981407.34128374
9-18,2030,MISW,SPPC,9,1195.0293103479462,0.9225993318813966,0.95,4.378279937607128e-05,4.1593659407267714e-05,3.063627291598707
9-18,2040,MISW,SPPC,9,1195.0293103479462,0.9225993318813966,0.95,0.0001397370623265309,0.00013275020921020434,9.777864455724165
9-18,2050,MISW,SPPC,9,1195.0293103479462,0.9225993318813966,0.95,0.00027703551513899105,0.0002631837393820415,19.385091337621965
7-6,2030,MISE,MISC,10,993.3851724175372,0.9259966673153565,0.95,6.0571274190994e-05,5.75427104814443e-05,3.6140936797660803
