TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
25-26,2030,2.1955214094542236e-06
25-26,2040,1.3608105205980004e-06
25-26,2050,1.0423317277866412e-07
25-20,2030,1682.2027274229922
25-20,2040,1909.5913355269738
25-20,2050,6539.931961841312
26-20,2030,7.5082567823818e-08
26-20,2040,4848.792238807093
26-20,2050,1.3659195029950604e-06
4-23,2030,4.6426419074033433e-07
4-23,2040,2.972282283440141e-07
4-23,2050,353.3841923552612
9-7,2030,1.698783359022158e-05
9-7,2040,9.921320284817886e-05
9-7,2050,3.4604666603816135e-05
9-13,2030,6.848835134986071e-07
9-13,2040,8.657806392233968e-06
9-13,2050,3871.0235543148783
9-6,2030,3.7525109516322444e-07
9-6,2040,2.130962210187006e-08
9-6,2050,1.0877119340559379e-07
9-19,2030,4.0297220133729705e-09
9-19,2040,7.672641334637166e-08
9-19,2050,2.6757272112194632e-05
9-18,2030,2.4876143990146135e-05
9-18,2040,3.97443584008189e-05
9-18,2050,1260.7537112013379
7-6,2030,2.5812273810815807e-05
7-6,2040,1588.0304819366188
7-6,2050,2470.397292112088
7-16,2030,1.5488136912886893e-07
7-16,2040,1.083786766248991e-07
7-16,2050,3.2589977948270416e-08
13-6,2030,8.05880986354704e-07
13-6,2040,1.3089874971525845e-06
13-6,2050,5.611931205368811e-07
13-16,2030,3.3835031537659e-07
13-16,2040,8.488980618915977e-08
13-16,2050,7826.814283457197
6-19,2030,8.038276121514829e-05
6-19,2040,802.4898659710968
6-19,2050,1801.928418633569
6-18,2030,1656.9268478524286
6-18,2040,1162.0582840798324
6-18,2050,2150.3535709320286
6-20,2030,5.37390116388948e-08
6-20,2040,2.8401760379834444
6-20,2050,7728.760215275622
6-8,2030,1.8735843567346424e-07
6-8,2040,2.6766198703866265e-09
6-8,2050,1.8660129457072442e-07
6-16,2030,3.68445092750435e-09
6-16,2040,1.4090860200464757e-06
6-16,2050,2849.282111673626
6-22,2030,9.062291119619384e-07
6-22,2040,7.559265605883485e-09
6-22,2050,1.013056101069303e-06
19-18,2030,307.3062548788003
19-18,2040,8.329477906625526e-06
19-18,2050,3.3678559778162777e-07
19-20,2030,0.0004042816559751493
19-20,2040,3340.066322446474
19-20,2050,2508.995534748063
18-20,2030,4.7644363647211785e-07
18-20,2040,5.144409965539739e-07
18-20,2050,6.21203328687044e-07
18-8,2030,6.447203115211546e-05
18-8,2040,0.01311630335605177
18-8,2050,3891.5143966575642
20-8,2030,1314.4639907861872
20-8,2040,8088.650724127702
20-8,2050,16655.52917070221
20-24,2030,1.0792438068712157e-07
20-24,2040,1947.616529498328
20-24,2050,5653.206799485234
8-23,2030,9.134035236740406e-07
8-23,2040,3.904774316212952e-06
8-23,2050,9999.999991730645
8-22,2030,9.469123335539744e-07
8-22,2040,1.385817940187197e-07
8-22,2050,3.123512728842044e-07
23-21,2030,1.125514065359713e-07
23-21,2040,3.4178105820621256e-07
23-21,2050,7.851139187964193e-08
23-22,2030,7.245486096196115e-08
23-22,2040,4.379605636785317e-08
23-22,2050,1.0158155350643316e-05
21-14,2030,6.411990194727809e-07
21-14,2040,5.585318787199827e-08
21-14,2050,2224.7718140944753
21-16,2030,1.165177997133483e-08
21-16,2040,5.843604456477278e-09
21-16,2050,3.3179002749895854e-08
21-22,2030,2.1701202289127313e-08
21-22,2040,4.0949827395431135e-09
21-22,2050,948.193766051733
14-16,2030,2.5801456227515224e-09
14-16,2040,1.0083436903256621e-07
14-16,2050,2.1910923005340836e-06
14-15,2030,1.642312342069007e-08
14-15,2040,9646.201844864008
14-15,2050,5969.515218304183
16-15,2030,7.299537896089743e-07
16-15,2040,2.650166908447049e-06
16-15,2050,9224.287675497799
16-22,2030,1.286612628070547e-06
16-22,2040,1.2359240533416574e-08
16-22,2050,1.6743653992496656e-07
15-12,2030,4616.513313976985
15-12,2040,1706.6808461908965
15-12,2050,1760.8280865287772
15-11,2030,1271.4762086146586
15-11,2040,4049.061089589569
15-11,2050,3184.45690246176
12-11,2030,7592.791265657543
12-11,2040,369.8729535187695
12-11,2050,114.41531919709301
12-5,2030,3825.5960911930383
12-5,2040,4133.083455864662
12-5,2050,2066.5933939477773
11-5,2030,668.260270151269
11-5,2040,7.057716919334179e-07
11-5,2050,5.399451525015226e-07
17-1,2030,9.662985014565326e-08
17-1,2040,1.3969590509141177e-08
17-1,2050,1.351842806857644e-07
17-10,2030,5.0072704122292854e-09
