PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2030,EmissionsCost,annual,0.0014804419920186583,0.00024050950347448896
2030,FuelCostsPerTP,timepoint,292238463531.8517,47476448343.88578
2030,GenVariableOMCostsInTP,timepoint,-19344217795.455437,-3142621083.547814
2030,NodeSpillageCosts,timepoint,59.430220947475455,9.654909147751566
2030,StorageEnergyFixedCost,annual,555729251.2550929,90282609.5221483
2030,TotalGenAmortizationAdjustment,annual,31.632947919227995,5.139022426075583
2030,TotalGenFixedCosts,annual,567146348105.0936,92137407149.69304
2030,TxFixedCosts,annual,57964163185.296326,9416736476.111906
2030,UnservedLoadPenalty,timepoint,257736620.87257454,41871351.29065851
2040,EmissionsCost,annual,0.0014798057807382649,0.00029729905039225954
2040,FuelCostsPerTP,timepoint,199117948795.41608,40003612543.93701
2040,GenVariableOMCostsInTP,timepoint,-155409856518.68542,-31222477548.06852
2040,NodeSpillageCosts,timepoint,57.72673044604561,11.597536897914564
2040,StorageEnergyFixedCost,annual,20931202140.64033,4205164353.984531
2040,TotalGenAmortizationAdjustment,annual,36.83534326752918,7.400371533111529
2040,TotalGenFixedCosts,annual,784532953022.66,157615887821.9206
2040,TxFixedCosts,annual,59865711620.79415,12027266988.401443
2040,UnservedLoadPenalty,timepoint,518869478.85935104,104243006.31225586
2050,EmissionsCost,annual,0.001481200657971581,0.00048472530155175284
2050,FuelCostsPerTP,timepoint,106369822418.92519,34809695749.54723
2050,GenVariableOMCostsInTP,timepoint,-165607170921.93338,-54195213479.176704
2050,NodeSpillageCosts,timepoint,56.873474887391936,18.611936280692653
2050,StorageEnergyFixedCost,annual,51793453125.98186,16949490975.300266
2050,TotalGenAmortizationAdjustment,annual,287.3030368876679,94.02038166984202
2050,TotalGenFixedCosts,annual,637021477603.8301,208466304794.46094
2050,TxFixedCosts,annual,56466450219.090324,18478736802.269733
2050,UnservedLoadPenalty,timepoint,41198292.55167904,13482207.60843944
