gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Batteries,Electricity,2030,-3142.7011877089485,2597638.950478086,0.0,22102.199999999997,0.0,137807217.0,8.107642668622427,0.08968904481946577,20460.294190896188,17317.59300318724
Batteries,Electricity,2040,-98.89290661491091,81741.1681258125,0.0,495.0,0.0,3086325.0,5.813593518598231,0.12601776021172117,643.8340274536611,544.9411208387501
Battery_*_Moderate,Electricity,2030,-388.10606311080807,320793.91783639265,0.0,2695.8249541606024,35622139.411423154,16881255.862953693,24.700058006938583,0.09080934686696882,2526.7321820200923,2138.6261189092843
Battery_*_Moderate,Electricity,2040,-33216.2630311503,27455317.411731523,0.0,122635.82579411952,1576544633.1368144,755681958.5433645,12.891939330213116,0.17084616111169307,216251.7124426938,183035.4494115435
Battery_*_Moderate,Electricity,2050,-100192.29323683742,82815192.37861982,0.0,327806.24874563824,6842824182.291578,1749174143.3067257,15.712358932253979,0.19279195294223947,652293.5757609695,552101.2825241322
Biomass,Waste_biomass,2030,11246.303238226532,66635544.20084908,0.0,12180.1,0.0,1837368085.0,169.30039932847285,0.10569302067735933,0.0,0.0
Biomass,Waste_biomass,2040,3486.185233714327,21257391.905236892,0.0,7686.6,0.0,1159523610.0,338.7028866068553,0.05191627833260504,0.0,0.0
Biomass,Waste_biomass,2050,4331.464460476358,26633830.992881857,0.0,4716.0,0.0,711408600.0,170.39097001195634,0.10513524560601599,0.0,0.0
Conventional Hydroelectric,Water,2030,256091.78517419944,0.0,0.0,67897.29999999999,0.0,3194432170.399999,12.473778369060428,0.43174818216180905,0.0,0.0
Conventional Hydroelectric,Water,2040,231061.9628385975,0.0,0.0,64131.99999999999,0.0,3017282335.9999995,13.05832556312025,0.4124212640816008,0.0,0.0
Conventional Hydroelectric,Water,2050,190886.65886165074,0.0,0.0,57582.49999999999,0.0,2709141459.9999995,14.192408606006923,0.379465620321255,0.0,0.0
Conventional Steam Coal,Coal,2030,354382.6058355643,665884916.3650254,368558131.7095272,184563.6,0.0,12159790793.0546,36.191606185577896,0.21979293033682826,0.0,0.0
Conventional Steam Coal,Coal,2040,177848.4612991265,334177258.78105867,187630570.59998083,111111.29999999999,0.0,7279141689.9001,42.80789888800996,0.1832226912334371,0.0,0.0
Conventional Steam Coal,Coal,2050,88332.85145968258,165977427.8927436,93584931.81161964,39531.5,0.0,2593219398.4063,31.236360886169432,0.25577985155854804,0.0,0.0
Geothermal,Heat,2030,5568.650041504118,0.0,0.0,1275.3999999999999,0.0,266687415.39999998,47.890855667411714,0.499793826937017,0.0,0.0
Geothermal,Heat,2040,2884.991136975773,0.0,0.0,795.2,0.0,166277115.2,57.635225657678106,0.41529383733948055,0.0,0.0
Geothermal,Heat,2050,812.3218791399063,0.0,0.0,243.70000000000002,0.0,50957913.7,62.73118453236136,0.3815575013884252,0.0,0.0
Hydroelectric Pumped Storage,Electricity,2030,-6953.095744562961,0.0,0.0,22807.100000000002,0.0,1073028440.8,51.453352531004576,0.10466822608470344,27807.488860218902,20854.39311565594
Hydroelectric Pumped Storage,Electricity,2040,-15738.075810761282,0.0,0.0,22807.100000000002,0.0,1073028440.8,22.73213643323923,0.2369126699264544,62941.225587348206,47203.14977658693
Hydroelectric Pumped Storage,Electricity,2050,-17354.84709505482,0.0,0.0,22807.100000000002,0.0,1073028440.8,20.614418817255622,0.2612506897853017,69407.1727178274,52052.32562277257
