TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
25-26,2030,TRE,TRE_WEST,1,694.9819646586291,0.943376254132344,0.95,16529.00000219552,15702.550002085743,697961256.1399596
25-26,2040,TRE,TRE_WEST,1,694.9819646586291,0.943376254132344,0.95,16529.00000355633,15702.550003378514,697961256.1974218
25-26,2050,TRE,TRE_WEST,1,694.9819646586291,0.943376254132344,0.95,16529.000003660563,15702.550003477534,697961256.2018231
25-20,2030,TRE,SPPS,2,501.3042951289656,0.9578052407961624,0.95,2282.202727422992,2168.0925910518426,75266808.61450413
25-20,2040,TRE,SPPS,2,501.3042951289656,0.9578052407961624,0.95,4191.794062949966,3982.204359802468,138244932.27371088
25-20,2050,TRE,SPPS,2,501.3042951289656,0.9578052407961624,0.95,10731.726024791278,10195.139723551714,353931208.26007503
26-20,2030,TRE_WEST,SPPS,3,594.5912331781975,0.9661112536396236,0.95,220.00000007508257,209.00000007132843,6479493.056483585
26-20,2040,TRE_WEST,SPPS,3,594.5912331781975,0.9661112536396236,0.95,5068.792238882175,4815.352626938066,149287291.3881185
26-20,2050,TRE_WEST,SPPS,3,594.5912331781975,0.9661112536396236,0.95,5068.7922402480945,4815.35262823569,149287291.4283479
4-23,2030,FRCC,SRSE,4,930.705776696937,0.922862516082419,0.95,3600.0000004642643,3420.000000441051,247763086.6384806
4-23,2040,FRCC,SRSE,4,930.705776696937,0.922862516082419,0.95,3600.0000007614926,3420.000000723418,247763086.65893677
4-23,2050,FRCC,SRSE,4,930.705776696937,0.922862516082419,0.95,3953.3841931167535,3755.714983460916,272084075.0633519
9-7,2030,MISW,MISE,5,1338.0895372438338,0.9095498714554684,0.95,1.698783359022158e-05,1.6138441910710502e-05,1.533673051369742
9-7,2040,MISW,MISE,5,1338.0895372438338,0.9095498714554684,0.95,0.00011620103643840044,0.00011039098461648041,10.490707786859339
9-7,2050,MISW,MISE,5,1338.0895372438338,0.9095498714554684,0.95,0.00015080570304221657,0.00014326541789010574,13.614840380932804
9-13,2030,MISW,PJMC,6,577.3769837220765,0.9443337093609498,0.95,3200.0000006848836,3040.0000006506393,140574700.2308404
9-13,2040,MISW,PJMC,6,577.3769837220765,0.9443337093609498,0.95,3200.0000093426897,3040.000008875555,140574700.61117432
9-13,2050,MISW,PJMC,6,577.3769837220765,0.9443337093609498,0.95,7071.023563657568,6717.472385474689,310627192.99175876
9-6,2030,MISW,MISC,7,1370.4981771620598,0.8979094653249757,0.95,1655.0000003752511,1572.2500003564885,145174827.18955398
9-6,2040,MISW,MISC,7,1370.4981771620598,0.8979094653249757,0.95,1655.0000003965606,1572.2500003767325,145174827.19142324
9-6,2050,MISW,MISC,7,1370.4981771620598,0.8979094653249757,0.95,1655.0000005053319,1572.2500004800652,145174827.2009645
9-19,2030,MISW,SPPN,8,1014.1486283848258,0.9329095304287599,0.95,5512.00000000403,5236.400000003829,355981407.0718519
9-19,2040,MISW,SPPN,8,1014.1486283848258,0.9329095304287599,0.95,5512.000000080756,5236.400000076718,355981407.0768071
9-19,2050,MISW,SPPN,8,1014.1486283848258,0.9329095304287599,0.95,5512.000026838028,5236.400025496127,355981408.80487156
9-18,2030,MISW,SPPC,9,1195.0293103479462,0.9225993318813966,0.95,2.4876143990146135e-05,2.3632336790638828e-05,1.7406660771810485
9-18,2040,MISW,SPPC,9,1195.0293103479462,0.9225993318813966,0.95,6.462050239096504e-05,6.138947727141678e-05,4.5217102958925635
9-18,2050,MISW,SPPC,9,1195.0293103479462,0.9225993318813966,0.95,1260.7537758218402,1197.7160870307482,88219111.85754098
7-6,2030,MISE,MISC,10,993.3851724175372,0.9259966673153565,0.95,2.5812273810815807e-05,2.4521660120275016e-05,1.5401355986982257
7-6,2040,MISE,MISC,10,993.3851724175372,0.9259966673153565,0.95,1588.0305077488927,1508.628982361448,94752687.6062372
7-6,2050,MISE,MISC,10,993.3851724175372,0.9259966673153565,0.95,4058.4277998609805,3855.5064098679313,242153371.49776125
7-16,2030,MISE,PJMW,11,672.2944948093907,0.9124339212689138,0.95,2662.0000001548815,2528.9000001471372,137883556.4163727
7-16,2040,MISE,PJMW,11,672.2944948093907,0.9124339212689138,0.95,2662.00000026326,2528.900000250097,137883556.42198637
7-16,2050,MISE,PJMW,11,672.2944948093907,0.9124339212689138,0.95,2662.00000029585,2528.900000281057,137883556.42367443
13-6,2030,PJMC,MISC,12,626.2046711986147,0.9533516120098756,0.95,5244.000000805881,4981.800000765587,191091551.09943223
13-6,2040,PJMC,MISC,12,626.2046711986147,0.9533516120098756,0.95,5244.000002114868,4981.800002009124,191091551.14713174
13-6,2050,PJMC,MISC,12,626.2046711986147,0.9533516120098756,0.95,5244.000002676062,4981.800002542258,191091551.16758165
13-16,2030,PJMC,PJMW,13,484.9526117173539,0.9263947470467947,0.95,980.0000003383503,931.0000003214328,36139852.96860506
13-16,2040,PJMC,PJMW,13,484.9526117173539,0.9263947470467947,0.95,980.0000004232401,931.0000004020781,36139852.97173557
13-16,2050,PJMC,PJMW,13,484.9526117173539,0.9263947470467947,0.95,8806.814283880438,8366.473569686415,324772421.6646561
6-19,2030,MISC,SPPN,14,919.2234841721058,0.9410931721523927,0.95,8.038276121514829e-05,7.636362315439087e-05,4.196689665370187
6-19,2040,MISC,SPPN,14,919.2234841721058,0.9410931721523927,0.95,802.489946353858,762.3654490361652,41897058.69163453
6-19,2050,MISC,SPPN,14,919.2234841721058,0.9410931721523927,0.95,2604.418364987427,2474.1974467380555,135973627.5715705
6-18,2030,MISC,SPPC,15,696.0754685319118,0.9481500944878907,0.95,3086.9268478524286,2932.5805054598072,129193471.2499904
6-18,2040,MISC,SPPC,15,696.0754685319118,0.9481500944878907,0.95,4248.985131932261,4036.5358753356472,177827712.00614128
6-18,2050,MISC,SPPC,15,696.0754685319118,0.9481500944878907,0.95,6399.33870286429,6079.371767721075,267823897.83632854
6-20,2030,MISC,SPPS,16,1164.3004320004338,0.9271267398789302,0.95,1172.000000053739,1113.400000051052,68330721.78151476
6-20,2040,MISC,SPPS,16,1164.3004320004338,0.9271267398789302,0.95,1174.8401760917225,1116.0981672871362,68496311.60971704
6-20,2050,MISC,SPPS,16,1164.3004320004338,0.9271267398789302,0.95,8903.600391367345,8458.420371798977,519103618.74437875
6-8,2030,MISC,MISS,17,1432.2313664952487,0.9118546781113521,0.95,1039.0000001873584,987.0500001779905,69279036.62203729
6-8,2040,MISC,MISS,17,1432.2313664952487,0.9118546781113521,0.95,1039.000000190035,987.0500001805333,69279036.62221576
6-8,2050,MISC,MISS,17,1432.2313664952487,0.9118546781113521,0.95,1039.0000003766363,987.0500003578045,69279036.63465807
6-16,2030,MISC,PJMW,18,636.7767278564246,0.8808216794997143,0.95,5441.000000003684,5168.9500000035,279631044.3660974
6-16,2040,MISC,PJMW,18,636.7767278564246,0.8808216794997143,0.95,5441.000001412771,5168.950001342132,279631044.438515
6-16,2050,MISC,PJMW,18,636.7767278564246,0.8808216794997143,0.95,8290.282113086396,7875.768007432076,426065106.66611946
6-22,2030,MISC,SRCE,19,807.5788459671032,0.8994314050331473,0.95,3745.000000906229,3557.7500008609177,218469302.58653742
6-22,2040,MISC,SRCE,19,807.5788459671032,0.8994314050331473,0.95,3745.0000009137884,3557.750000868099,218469302.5869784
6-22,2050,MISC,SRCE,19,807.5788459671032,0.8994314050331473,0.95,3745.0000019268446,3557.7500018305022,218469302.6460763
19-18,2030,SPPN,SPPC,20,261.19343417595013,0.9805410901794434,0.95,1740.3062548788002,1653.2909421348602,27668598.286183685
19-18,2040,SPPN,SPPC,20,261.19343417595013,0.9805410901794434,0.95,1740.3062632082783,1653.2909500478643,27668598.418611515
19-18,2050,SPPN,SPPC,20,261.19343417595013,0.9805410901794434,0.95,1740.3062635450638,1653.2909503678104,27668598.423965964
19-20,2030,SPPN,SPPS,21,679.4249275747745,0.9612727791748047,0.95,0.0004042816559751493,0.0003840675731763918,13.226486428817976
19-20,2040,SPPN,SPPS,21,679.4249275747745,0.9612727791748047,0.95,3340.0667267281297,3173.063390391723,109273687.24128214
19-20,2050,SPPN,SPPS,21,679.4249275747745,0.9612727791748047,0.95,5849.062261476192,5556.609148402383,191358033.38918155
