BASELOAD_GEN_PERIODS_1,BASELOAD_GEN_PERIODS_2,DispatchBaseloadByPeriod
BASN_small_hydroelectric_1,2030,176.87679999997243
BASN_small_hydroelectric_1,2040,166.900799999964
BASN_small_hydroelectric_1,2050,143.28319999994758
CANO_small_hydroelectric_1,2030,223.02579999997448
CANO_small_hydroelectric_1,2040,213.71199999996853
CANO_small_hydroelectric_1,2050,195.12049999995517
CASO_small_hydroelectric_1,2030,72.88559999997665
CASO_small_hydroelectric_1,2040,72.88559999997146
CASO_small_hydroelectric_1,2050,71.61359999995884
ISNE_small_hydroelectric_1,2030,254.8538999999786
ISNE_small_hydroelectric_1,2040,229.23179999997302
ISNE_small_hydroelectric_1,2050,202.28669999996177
MISC_small_hydroelectric_1,2030,15.539999999976509
MISC_small_hydroelectric_1,2040,13.985999999964475
MISC_small_hydroelectric_1,2050,13.985999999947044
MISE_small_hydroelectric_1,2030,12.10139999997758
MISE_small_hydroelectric_1,2040,11.429099999971305
MISE_small_hydroelectric_1,2050,9.636299999957538
MISS_small_hydroelectric_1,2030,2.633399999975453
MISS_small_hydroelectric_1,2040,2.6333999999655724
MISS_small_hydroelectric_1,2050,2.6333999999468105
MISW_small_hydroelectric_1,2030,397.7999999997993
MISW_small_hydroelectric_1,2040,342.09999999995495
MISW_small_hydroelectric_1,2050,259.39999999994626
NWPP_small_hydroelectric_1,2030,420.73779999997055
NWPP_small_hydroelectric_1,2040,410.14259999996517
NWPP_small_hydroelectric_1,2050,404.4235999999531
NYUP_small_hydroelectric_1,2030,398.7415999999815
NYUP_small_hydroelectric_1,2040,354.9253999999721
NYUP_small_hydroelectric_1,2050,343.8649999999584
PJMC_small_hydroelectric_1,2030,9.283999999976748
PJMC_small_hydroelectric_1,2040,9.283999999966673
PJMC_small_hydroelectric_1,2050,9.283999999951554
PJMD_small_hydroelectric_1,2030,4.553699999980882
PJMD_small_hydroelectric_1,2040,3.8476999999717845
PJMD_small_hydroelectric_1,2050,3.84769999995959
PJME_small_hydroelectric_1,2030,52.76249999998228
PJME_small_hydroelectric_1,2040,52.76249999997485
PJME_small_hydroelectric_1,2050,52.76249999996369
PJMW_small_hydroelectric_1,2030,198.00659999997907
PJMW_small_hydroelectric_1,2040,153.3641999999696
PJMW_small_hydroelectric_1,2050,153.36419999995604
RMRG_small_hydroelectric_1,2030,100.69919999996503
RMRG_small_hydroelectric_1,2040,99.0143999999496
RMRG_small_hydroelectric_1,2050,85.36319999992807
SPPC_small_hydroelectric_1,2030,20.599999999971345
SPPC_small_hydroelectric_1,2040,4.599999999956274
SPPC_small_hydroelectric_1,2050,4.599999999936097
SPPN_small_hydroelectric_1,2030,62.06099999997036
SPPN_small_hydroelectric_1,2040,43.565999999953945
SPPN_small_hydroelectric_1,2050,0.06849999994742036
SPPS_small_hydroelectric_1,2030,39.82769999996934
SPPS_small_hydroelectric_1,2040,39.827699999955996
SPPS_small_hydroelectric_1,2050,39.82769999993321
SRCA_small_hydroelectric_1,2030,30.749999999980773
SRCA_small_hydroelectric_1,2040,29.30999999997039
SRCA_small_hydroelectric_1,2050,21.839999999959325
SRCE_small_hydroelectric_1,2030,45.407999999978806
SRCE_small_hydroelectric_1,2040,40.69119999996732
SRCE_small_hydroelectric_1,2050,30.6239999999513
SRSE_small_hydroelectric_1,2030,7.916999999978666
SRSE_small_hydroelectric_1,2040,3.5089999999716115
SRSE_small_hydroelectric_1,2050,1.7979999999566287
SRSG_small_hydroelectric_1,2030,67.11599999997168
SRSG_small_hydroelectric_1,2040,62.227999999963544
SRSG_small_hydroelectric_1,2050,46.96239999994674
TRE_small_hydroelectric_1,2030,19.647399999976503
TRE_small_hydroelectric_1,2040,10.151799999960083
TRE_small_hydroelectric_1,2050,3.5897999999073438
