GroupExposure_index_1,GroupExposure_index_2,GroupExposure
Asian,2030,0.06042682355464193
Asian,2040,0.043052441203250025
Asian,2050,0.037567802474784175
Black,2030,0.07852095091774489
Black,2040,0.04901025899543552
Black,2050,0.04135504329980448
Latino,2030,0.06735861142237105
Latino,2040,0.04457692869619638
Latino,2050,0.039351425858141914
Native,2030,0.06445046080706995
Native,2040,0.036300294672326955
Native,2050,0.03059398725691411
WhiteNoLat,2030,0.0667373236419424
WhiteNoLat,2040,0.04231400781544864
WhiteNoLat,2050,0.03492276151723694
