gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Batteries,BASN,Electricity,2030,-124.65405813107772,103034.36992397343,0.0,935.8,0.0,5834713.0,8.644320396638461,0.08402242164609362,811.5498576242339,686.8957994931562
Batteries,CANO,Electricity,2030,-530.2685778155844,438300.12135069835,0.0,2678.6,0.0,16701071.0,5.865628465444887,0.12487049749267018,3452.2693868202405,2922.000809004656
Batteries,CASO,Electricity,2030,-2213.0884775551463,1829255.9447291808,0.0,8979.8,0.0,55989053.0,4.741133337135808,0.15545472491300422,14408.128109083018,12195.039631527874
Batteries,CASO,Electricity,2040,-24.96289425302916,20633.392281025866,0.0,95.0,0.0,592325.0,4.456066050113528,0.16574603400348517,162.5188427932016,137.55594854017244
Batteries,FRCC,Electricity,2030,-52.584704859557995,43464.54511050918,0.0,555.1999999999999,0.0,3461672.0,12.096537083956541,0.059742280541014915,342.3483389296192,289.76363407006124
Batteries,ISNE,Electricity,2030,-53.664786588373865,44357.300164467524,0.0,368.4,0.0,2296974.0,7.917517380960871,0.09188436085289854,349.3801210181574,295.7153344297835
Batteries,MISC,Electricity,2030,-5.57795980116181,4610.5323981523625,0.0,36.3,0.0,226330.5,7.513482580364266,0.09692606211449245,36.314842455510885,30.73688265434908
Batteries,MISE,Electricity,2030,-0.11645332138551841,96.25594846216816,0.0,1.3,0.0,8105.5,12.781167417958176,0.056504149327374006,0.7581596444666394,0.6417063230811211
Batteries,MISS,Electricity,2030,-1.8681965355941061,1544.1811989573885,0.0,10.5,0.0,65467.5,6.509438261928344,0.1122289957960774,12.162737861976696,10.29454132638259
Batteries,MISW,Electricity,2030,-5.816989797100677,4808.105629169926,0.0,31.200000000000003,0.0,194532.0,6.218876653410299,0.11760222043107618,37.87102732490018,32.05403752779951
Batteries,NWPP,Electricity,2030,-3.993236666520447,3300.659682174769,0.0,136.0,0.0,847960.0,38.68593288848042,0.018520723814544553,25.99763454768557,22.004397881165126
Batteries,NWPP,Electricity,2040,-9.595227846643496,7931.055516996445,0.0,100.0,0.0,623500.0,11.942251333958469,0.06052392793800705,62.46893129328646,52.87370344664296
Batteries,NYCW,Electricity,2030,-7.739116885075841,6396.863800356939,0.0,24.200000000000003,0.0,150887.0,3.6881478653238013,0.20171948633301476,50.384875554122104,42.64575866904626
Batteries,NYUP,Electricity,2030,-27.780330447793418,22962.17938575634,0.0,170.0,0.0,1059950.0,7.074103210282582,0.10307665098109399,180.8615263528357,153.0811959050423
Batteries,PJMC,Electricity,2030,-11.153391208712591,9218.974920955206,0.0,71.3,0.0,444555.5,7.383268944948028,0.09867092947813763,72.61322401508063,61.45983280636804
Batteries,PJMD,Electricity,2030,-5.5702905405292755,4604.1932749107855,0.0,40.5,0.0,252517.5,8.376766935785065,0.08675502485172344,36.26491237326785,30.69462183273857
Batteries,PJME,Electricity,2030,-10.546596671480284,8717.421311274818,0.0,107.00000000000001,0.0,667145.0,11.629512854400023,0.06217279243603166,68.66273874664574,58.11614207516547
Batteries,PJMW,Electricity,2030,-11.596725843121805,9585.418704709742,0.0,72.3,0.0,450790.5,7.204316257126669,0.1011739967346001,75.49951720785342,63.90279136473163
Batteries,RMRG,Electricity,2030,-28.41356859211083,23485.59028942119,0.0,240.2,0.0,1497647.0,9.715314187618679,0.07461473360563513,184.98417052158544,156.5706019294746
Batteries,SPPC,Electricity,2030,-0.13414085309019763,110.87579888683675,0.0,1.2,0.0,7482.0,10.272136762644243,0.07051014886474662,0.8733128456691095,0.7391719925789118
Batteries,SPPN,Electricity,2030,-0.9672220542158638,799.4694791926241,0.0,4.699999999999999,0.0,29304.5,5.648239913347467,0.12980760774566552,6.297018582166693,5.329796527950829
Batteries,SPPS,Electricity,2030,-29.98348125008734,24783.221220779436,0.0,222.0,0.0,1384170.0,8.527663990906753,0.08519240813883745,195.20495605528362,165.22147480519627
Batteries,SRCA,Electricity,2030,-24.95303615640117,20625.24394802962,0.0,160.79999999999998,0.0,1002587.9999999999,7.4414628490669035,0.09788342678790506,162.45466247659866,137.5016263201975
Batteries,SRCE,Electricity,2030,-17.715472364695906,14642.945126447965,0.0,122.3,0.0,762540.5,7.961343552288934,0.09136883625534979,115.33510654101568,97.61963417631978
Batteries,SRSE,Electricity,2030,-21.041962984879483,17392.49752969339,0.0,151.7,0.0,945849.5,8.307392275478513,0.08749283421232844,136.99194651616875,115.94998353128929
Batteries,SRSG,Electricity,2030,-250.44922871603558,207011.94061060282,0.0,2075.0,0.0,12937625.0,9.524549817154863,0.07613308200222238,1630.528832786721,1380.0796040706855
Batteries,TRE,Electricity,2030,-386.74140696095964,319665.9441912075,0.0,3029.5,0.0,18888932.5,9.013439870545746,0.08052329348282979,2517.84770156901,2131.10629460805
Batteries,TRE,Electricity,2040,-69.36069044753194,57330.94569806459,0.0,300.0,0.0,1870500.0,5.0439538077334,0.14583573895519075,451.5669951012959,382.20630465376394
Batteries,TRE_WEST,Electricity,2030,-229.5344981784425,189724.608650654,0.0,1876.4,0.0,11699354.0,9.399738937300217,0.07716037985518392,1494.3652225161359,1264.8307243376935
