generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
BASN_batteries_1,BASN_batteries_1,Batteries,BASN,Electricity,2030,-124.65405813107772,103034.36992397343,0.0,935.8,0.0,5834713.0,8.644320396638461,0.08402242164609362,811.5498576242339,686.8957994931562
BASN_battery_moderate_0,BASN_battery_moderate_0,Battery_*_Moderate,BASN,Electricity,2030,-6.464378618659748e-07,0.0005343257546577027,0.0,2.049722912051048e-06,0.027118942883253793,0.012835364875263662,11.366277919481755,0.19893310792573782,4.208609559583993e-06,3.5621716977180185e-06
BASN_battery_moderate_0,BASN_battery_moderate_0,Battery_*_Moderate,BASN,Electricity,2040,-1732.2890690613963,1431845.1836460652,0.0,5042.474161827809,65628359.76297727,31071725.78518296,10.280294111328656,0.21669480365800728,11277.923626701831,9545.634557640435
BASN_battery_moderate_0,BASN_battery_moderate_0,Battery_*_Moderate,BASN,Electricity,2050,-4978.0589070690185,4114676.8153742407,0.0,12956.697515763834,274706279.45032066,69136937.94411582,12.684759088843396,0.24234693145595443,32409.23767623063,27431.17876916161
BASN_biomass_1,BASN_biomass_1,Biomass,BASN,Waste_biomass,2030,143.47030743602397,658385.2408239141,0.0,29.0,0.0,4374650.0,35.08067509417052,0.5663063164551912,,
BASN_biomass_1,BASN_biomass_1,Biomass,BASN,Waste_biomass,2040,91.2068851426157,418548.3959194635,0.0,22.8,0.0,3439380.0,42.29865311031082,0.4579100251762002,,
BASN_biomass_1,BASN_biomass_1,Biomass,BASN,Waste_biomass,2050,49.719038412325894,228160.66727416354,0.0,15.3,0.0,2308005.0,51.00995007669779,0.37197920715966004,,
BASN_biomass_2,BASN_biomass_2,Biomass,BASN,Waste_biomass,2030,56.11515715111119,426194.6185626895,0.0,15.600000000000001,0.0,2353260.0,49.531263203593305,0.41175886657561395,,
BASN_biomass_2,BASN_biomass_2,Biomass,BASN,Waste_biomass,2040,13.29017158549716,100938.85319185094,0.0,15.600000000000001,0.0,2353260.0,184.66269132822816,0.09751992628129666,,
BASN_biomass_2,BASN_biomass_2,Biomass,BASN,Waste_biomass,2050,25.29646900128595,192126.68206476676,0.0,10.2,0.0,1538670.0,68.42048516639937,0.28388804722049343,,
BASN_conventional_hydroelectric_1,BASN_conventional_hydroelectric_1,Conventional Hydroelectric,BASN,Water,2030,9434.218941985699,0.0,0.0,2566.2999999999993,0.0,120739282.39999998,12.79801572790158,0.4208098544362527,,
BASN_conventional_hydroelectric_1,BASN_conventional_hydroelectric_1,Conventional Hydroelectric,BASN,Water,2040,5997.503751894056,0.0,0.0,1773.8,0.0,83453742.39999999,13.914746176464615,0.38703768413973777,,
BASN_conventional_hydroelectric_1,BASN_conventional_hydroelectric_1,Conventional Hydroelectric,BASN,Water,2050,4386.353297440589,0.0,0.0,1549.7,0.0,72910285.6,16.622073202024726,0.3239987617714935,,
BASN_conventional_steam_coal_1,BASN_conventional_steam_coal_1,Conventional Steam Coal,BASN,Coal,2030,6242.288071760089,11729259.286837207,7352523.450413691,1183.2,0.0,88801526.4,16.10479755678615,0.6039111116141945,,
BASN_conventional_steam_coal_1,BASN_conventional_steam_coal_1,Conventional Steam Coal,BASN,Coal,2040,1736.6651205273556,3263193.761470901,2045543.3772688035,733.2,0.0,55028126.4,33.565089476645994,0.2711321389927033,,
BASN_conventional_steam_coal_1,BASN_conventional_steam_coal_1,Conventional Steam Coal,BASN,Coal,2050,1110.4800168131972,2086591.9515919974,1307986.7944211438,733.2,0.0,55028126.4,51.43245937508817,0.1733706854063996,,
BASN_conventional_steam_coal_2,BASN_conventional_steam_coal_2,Conventional Steam Coal,BASN,Coal,2030,21428.91953099125,40264939.79873256,21420707.96902697,2949.2,0.0,193374080.49639997,10.902977163978596,0.8317320241106876,,
BASN_conventional_steam_coal_2,BASN_conventional_steam_coal_2,Conventional Steam Coal,BASN,Coal,2040,11719.321736806163,22020605.543458782,11714830.892716618,2040.2,0.0,133772480.3434,13.293694753474417,0.657532326025626,,
BASN_conventional_steam_coal_2,BASN_conventional_steam_coal_2,Conventional Steam Coal,BASN,Coal,2050,2710.8333169250227,5093655.802502118,2709794.5255979765,677.2,0.0,44402864.27239999,18.25878402994082,0.45821915468513397,,
BASN_distributed_generation_1,BASN_distributed_generation_1,distributed_generation,BASN,Solar,2030,3642.6916751008766,0.0,0.0,1642.0,0.0,0.0,0.0,0.2539432275633271,,
BASN_distributed_generation_1,BASN_distributed_generation_1,distributed_generation,BASN,Solar,2040,1999.5390176511132,0.0,0.0,1642.0,0.0,0.0,0.0,0.13939400780250405,,
BASN_distributed_generation_1,BASN_distributed_generation_1,distributed_generation,BASN,Solar,2050,1652.0431320809225,0.0,0.0,1642.0,0.0,0.0,0.0,0.11516900206022503,,
BASN_geothermal_1,BASN_geothermal_1,Geothermal,BASN,Heat,2030,3676.3815052275995,0.0,0.0,836.4999999999999,0.0,174912986.5,47.57748515796959,0.5030857337211453,,
BASN_geothermal_1,BASN_geothermal_1,Geothermal,BASN,Heat,2040,2025.5435307541038,0.0,0.0,578.8000000000001,0.0,121027658.8,59.750707384176415,0.40059030390061623,,
