,Race,Cluster,Pollutant,Exposure
0,Asian,BASN_batteries_1,NH3,0.0
1,Asian,BASN_batteries_1,NOx,0.0
2,Asian,BASN_batteries_1,PM2_5,0.0
3,Asian,BASN_batteries_1,SOx,0.0
4,Asian,BASN_batteries_1,VOC,0.0
5,Asian,BASN_biomass_1,NH3,4.7484442441376175e-12
6,Asian,BASN_biomass_1,NOx,1.1358069746696094e-11
7,Asian,BASN_biomass_1,PM2_5,1.86853873118173e-11
8,Asian,BASN_biomass_1,SOx,1.2314030795261823e-11
9,Asian,BASN_biomass_1,VOC,4.114744527439204e-13
10,Asian,BASN_biomass_2,NH3,1.0918183006008442e-11
11,Asian,BASN_biomass_2,NOx,1.570703804833806e-11
12,Asian,BASN_biomass_2,PM2_5,4.5967240490157853e-11
13,Asian,BASN_biomass_2,SOx,2.9943337017037855e-11
14,Asian,BASN_biomass_2,VOC,9.57604652506495e-13
15,Asian,BASN_conventional_hydroelectric_1,NH3,0.0
16,Asian,BASN_conventional_hydroelectric_1,NOx,0.0
17,Asian,BASN_conventional_hydroelectric_1,PM2_5,0.0
18,Asian,BASN_conventional_hydroelectric_1,SOx,0.0
19,Asian,BASN_conventional_hydroelectric_1,VOC,0.0
20,Asian,BASN_conventional_steam_coal_1,NH3,3.173162051219637e-14
21,Asian,BASN_conventional_steam_coal_1,NOx,2.5428121406751152e-11
22,Asian,BASN_conventional_steam_coal_1,PM2_5,3.0986944146995578e-12
23,Asian,BASN_conventional_steam_coal_1,SOx,4.8639711489816254e-11
24,Asian,BASN_conventional_steam_coal_1,VOC,1.270631473574891e-13
25,Asian,BASN_conventional_steam_coal_2,NH3,6.677140780997235e-14
26,Asian,BASN_conventional_steam_coal_2,NOx,2.8970845859973362e-11
27,Asian,BASN_conventional_steam_coal_2,PM2_5,4.9144480929914744e-12
28,Asian,BASN_conventional_steam_coal_2,SOx,1.5335707286995515e-11
29,Asian,BASN_conventional_steam_coal_2,VOC,6.431279168234054e-14
30,Asian,BASN_geothermal_1,NH3,0.0
31,Asian,BASN_geothermal_1,NOx,0.0
32,Asian,BASN_geothermal_1,PM2_5,0.0
33,Asian,BASN_geothermal_1,SOx,0.0
34,Asian,BASN_geothermal_1,VOC,0.0
35,Asian,BASN_natural_gas_fired_combined_cycle_1,NH3,2.4666162692071608e-11
36,Asian,BASN_natural_gas_fired_combined_cycle_1,NOx,3.410590245862951e-12
37,Asian,BASN_natural_gas_fired_combined_cycle_1,PM2_5,1.2158239513604097e-10
38,Asian,BASN_natural_gas_fired_combined_cycle_1,SOx,3.16908388249507e-13
39,Asian,BASN_natural_gas_fired_combined_cycle_1,VOC,3.124693139032323e-12
40,Asian,BASN_natural_gas_fired_combined_cycle_2,NH3,1.0526048092131405e-11
41,Asian,BASN_natural_gas_fired_combined_cycle_2,NOx,1.6359223443181807e-12
42,Asian,BASN_natural_gas_fired_combined_cycle_2,PM2_5,2.8596194782786757e-11
43,Asian,BASN_natural_gas_fired_combined_cycle_2,SOx,2.305379280408508e-13
44,Asian,BASN_natural_gas_fired_combined_cycle_2,VOC,6.44129180776734e-13
45,Asian,BASN_natural_gas_fired_combustion_turbine_1,NH3,3.166110705406532e-11
46,Asian,BASN_natural_gas_fired_combustion_turbine_1,NOx,9.09562080277283e-12
47,Asian,BASN_natural_gas_fired_combustion_turbine_1,PM2_5,2.1902827545752408e-10
48,Asian,BASN_natural_gas_fired_combustion_turbine_1,SOx,2.2990333452769557e-13
49,Asian,BASN_natural_gas_fired_combustion_turbine_1,VOC,1.750123386335398e-12
50,Asian,BASN_natural_gas_fired_combustion_turbine_2,NH3,1.2902469005386725e-11
51,Asian,BASN_natural_gas_fired_combustion_turbine_2,NOx,5.720270565060511e-12
52,Asian,BASN_natural_gas_fired_combustion_turbine_2,PM2_5,3.69600003433663e-11
53,Asian,BASN_natural_gas_fired_combustion_turbine_2,SOx,1.3700340510649257e-13
54,Asian,BASN_natural_gas_fired_combustion_turbine_2,VOC,5.001333751406965e-13
55,Asian,BASN_natural_gas_internal_combustion_engine_1,NH3,0.0
56,Asian,BASN_natural_gas_internal_combustion_engine_1,NOx,5.308859435887887e-11
57,Asian,BASN_natural_gas_internal_combustion_engine_1,PM2_5,2.0927350177386532e-10
58,Asian,BASN_natural_gas_internal_combustion_engine_1,SOx,2.015689399386486e-12
59,Asian,BASN_natural_gas_internal_combustion_engine_1,VOC,4.119874945256639e-12
60,Asian,BASN_natural_gas_steam_turbine_1,NH3,1.5197785145761232e-11
61,Asian,BASN_natural_gas_steam_turbine_1,NOx,3.8995048069107843e-11
62,Asian,BASN_natural_gas_steam_turbine_1,PM2_5,8.949361027881841e-11
63,Asian,BASN_natural_gas_steam_turbine_1,SOx,2.048789392336343e-13
64,Asian,BASN_natural_gas_steam_turbine_1,VOC,3.057306136630533e-12
65,Asian,BASN_naturalgas_ccavgcf_moderate_0,NH3,6.945039686174491e-10
66,Asian,BASN_naturalgas_ccavgcf_moderate_0,NOx,1.73978433369955e-10
67,Asian,BASN_naturalgas_ccavgcf_moderate_0,PM2_5,2.192694935317383e-09
68,Asian,BASN_naturalgas_ccavgcf_moderate_0,SOx,2.108694182935366e-11
69,Asian,BASN_naturalgas_ccavgcf_moderate_0,VOC,1.6010308360054704e-11
70,Asian,BASN_naturalgas_ctavgcf_moderate_0,NH3,2.7565515244282747e-09
71,Asian,BASN_naturalgas_ctavgcf_moderate_0,NOx,5.693807882486521e-10
72,Asian,BASN_naturalgas_ctavgcf_moderate_0,PM2_5,1.6560040504232403e-09
73,Asian,BASN_naturalgas_ctavgcf_moderate_0,SOx,1.9329554406739238e-11
74,Asian,BASN_naturalgas_ctavgcf_moderate_0,VOC,2.181200446850514e-11
75,Asian,BASN_onshore_wind_turbine_1,NH3,0.0
76,Asian,BASN_onshore_wind_turbine_1,NOx,0.0
77,Asian,BASN_onshore_wind_turbine_1,PM2_5,0.0
78,Asian,BASN_onshore_wind_turbine_1,SOx,0.0
79,Asian,BASN_onshore_wind_turbine_1,VOC,0.0
80,Asian,BASN_petroleum_liquids_1,NH3,6.113943949519609e-12
81,Asian,BASN_petroleum_liquids_1,NOx,4.773353513321048e-12
82,Asian,BASN_petroleum_liquids_1,PM2_5,9.173231494890488e-12
83,Asian,BASN_petroleum_liquids_1,SOx,9.773988561897596e-13
84,Asian,BASN_petroleum_liquids_1,VOC,2.861897272443264e-14
85,Asian,BASN_small_hydroelectric_1,NH3,0.0
86,Asian,BASN_small_hydroelectric_1,NOx,0.0
87,Asian,BASN_small_hydroelectric_1,PM2_5,0.0
88,Asian,BASN_small_hydroelectric_1,SOx,0.0
89,Asian,BASN_small_hydroelectric_1,VOC,0.0
90,Asian,BASN_solar_photovoltaic_1,NH3,0.0
91,Asian,BASN_solar_photovoltaic_1,NOx,0.0
92,Asian,BASN_solar_photovoltaic_1,PM2_5,0.0
93,Asian,BASN_solar_photovoltaic_1,SOx,0.0
94,Asian,BASN_solar_photovoltaic_1,VOC,0.0
95,Asian,CANO_batteries_1,NH3,0.0
96,Asian,CANO_batteries_1,NOx,0.0
97,Asian,CANO_batteries_1,PM2_5,0.0
98,Asian,CANO_batteries_1,SOx,0.0
99,Asian,CANO_batteries_1,VOC,0.0
100,Asian,CANO_biomass_1,NH3,6.636966671264246e-11
101,Asian,CANO_biomass_1,NOx,1.0778217918163794e-10
102,Asian,CANO_biomass_1,PM2_5,2.9324142562534095e-10
103,Asian,CANO_biomass_1,SOx,2.0914433777175525e-10
104,Asian,CANO_biomass_1,VOC,4.94822946919316e-12
105,Asian,CANO_biomass_2,NH3,7.713302843627679e-12
106,Asian,CANO_biomass_2,NOx,2.6626398287302843e-11
107,Asian,CANO_biomass_2,PM2_5,3.22397976889319e-11
108,Asian,CANO_biomass_2,SOx,5.4990225574604576e-11
109,Asian,CANO_biomass_2,VOC,7.675380532496476e-13
110,Asian,CANO_conventional_hydroelectric_1,NH3,0.0
111,Asian,CANO_conventional_hydroelectric_1,NOx,0.0
112,Asian,CANO_conventional_hydroelectric_1,PM2_5,0.0
113,Asian,CANO_conventional_hydroelectric_1,SOx,0.0
114,Asian,CANO_conventional_hydroelectric_1,VOC,0.0
115,Asian,CANO_hydroelectric_pumped_storage_1,NH3,0.0
