,Race,Cluster,Pollutant,Exposure,year
0,Asian,BASN_biomass_1,NH3,6.037896661135587e-12,2050
1,Asian,BASN_biomass_1,NOx,9.158404040221472e-12,2050
2,Asian,BASN_biomass_1,PM2_5,4.396573175051863e-12,2050
3,Asian,BASN_biomass_1,SOx,6.170217550891139e-13,2050
4,Asian,BASN_biomass_1,VOC,6.089917037761535e-14,2050
5,Asian,BASN_biomass_2,NH3,1.6890396396341053e-11,2050
6,Asian,BASN_biomass_2,NOx,1.3197409692454438e-11,2050
7,Asian,BASN_biomass_2,PM2_5,1.528341873515745e-11,2050
8,Asian,BASN_biomass_2,SOx,1.8950505504348644e-12,2050
9,Asian,BASN_biomass_2,VOC,1.5413432495392706e-13,2050
10,Asian,BASN_conventional_hydroelectric_1,NH3,0.0,2050
11,Asian,BASN_conventional_hydroelectric_1,NOx,0.0,2050
12,Asian,BASN_conventional_hydroelectric_1,PM2_5,0.0,2050
13,Asian,BASN_conventional_hydroelectric_1,SOx,0.0,2050
14,Asian,BASN_conventional_hydroelectric_1,VOC,0.0,2050
15,Asian,BASN_conventional_steam_coal_1,NH3,3.173162051219637e-14,2050
16,Asian,BASN_conventional_steam_coal_1,NOx,2.5428121406751152e-11,2050
17,Asian,BASN_conventional_steam_coal_1,PM2_5,3.0986944146995578e-12,2050
18,Asian,BASN_conventional_steam_coal_1,SOx,4.8639711489816254e-11,2050
19,Asian,BASN_conventional_steam_coal_1,VOC,1.270631473574891e-13,2050
20,Asian,BASN_conventional_steam_coal_2,NH3,6.347197881846171e-13,2050
21,Asian,BASN_conventional_steam_coal_2,NOx,2.7238885945458374e-11,2050
22,Asian,BASN_conventional_steam_coal_2,PM2_5,1.0208655846542284e-11,2050
23,Asian,BASN_conventional_steam_coal_2,SOx,1.2334307550180336e-11,2050
24,Asian,BASN_conventional_steam_coal_2,VOC,6.416294013244284e-14,2050
25,Asian,BASN_geothermal_1,NH3,0.0,2050
26,Asian,BASN_geothermal_1,NOx,0.0,2050
27,Asian,BASN_geothermal_1,PM2_5,0.0,2050
28,Asian,BASN_geothermal_1,SOx,0.0,2050
29,Asian,BASN_geothermal_1,VOC,0.0,2050
30,Asian,BASN_natural_gas_fired_combined_cycle_1,NH3,2.6793922088272648e-11,2050
31,Asian,BASN_natural_gas_fired_combined_cycle_1,NOx,3.4914965842551282e-12,2050
32,Asian,BASN_natural_gas_fired_combined_cycle_1,PM2_5,1.3732320818941034e-10,2050
33,Asian,BASN_natural_gas_fired_combined_cycle_1,SOx,3.5748233486930074e-13,2050
34,Asian,BASN_natural_gas_fired_combined_cycle_1,VOC,4.822738519441363e-12,2050
35,Asian,BASN_natural_gas_fired_combined_cycle_2,NH3,1.0491863721173285e-11,2050
36,Asian,BASN_natural_gas_fired_combined_cycle_2,NOx,1.630635239904384e-12,2050
37,Asian,BASN_natural_gas_fired_combined_cycle_2,PM2_5,2.8596182840886174e-11,2050
38,Asian,BASN_natural_gas_fired_combined_cycle_2,SOx,2.3049872531351165e-13,2050
39,Asian,BASN_natural_gas_fired_combined_cycle_2,VOC,6.44118017612558e-13,2050
40,Asian,BASN_natural_gas_fired_combustion_turbine_1,NH3,2.2231155104924205e-11,2050
41,Asian,BASN_natural_gas_fired_combustion_turbine_1,NOx,3.489595021638075e-12,2050
42,Asian,BASN_natural_gas_fired_combustion_turbine_1,PM2_5,1.111113813112929e-10,2050
43,Asian,BASN_natural_gas_fired_combustion_turbine_1,SOx,1.1427215714781556e-13,2050
44,Asian,BASN_natural_gas_fired_combustion_turbine_1,VOC,1.5537081870962187e-12,2050
45,Asian,BASN_natural_gas_fired_combustion_turbine_2,NH3,8.860948094365464e-12,2050
46,Asian,BASN_natural_gas_fired_combustion_turbine_2,NOx,4.530400691120428e-12,2050
47,Asian,BASN_natural_gas_fired_combustion_turbine_2,PM2_5,3.113675410998761e-11,2050
48,Asian,BASN_natural_gas_fired_combustion_turbine_2,SOx,1.1330896275208568e-13,2050
49,Asian,BASN_natural_gas_fired_combustion_turbine_2,VOC,4.4419387400684095e-13,2050
50,Asian,BASN_natural_gas_internal_combustion_engine_1,NH3,0.0,2050
51,Asian,BASN_natural_gas_internal_combustion_engine_1,NOx,5.2290953587448745e-11,2050
52,Asian,BASN_natural_gas_internal_combustion_engine_1,PM2_5,2.1108123715541056e-10,2050
